Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 15:32"
Zeitbezug:;MEZ
Messstellen-Name:;"Steinerne Br. in Stein (Bio 300m oh.)"
Messstellen-Nr.:;12540
Gewässer:;Traun
Ostwert:;764374;Nordwert:;5320596;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2018-01-23 12:30:00";2,6;0,016;Geprueft
"2018-02-12 13:00:00";5,8;0,01;Geprueft
"2018-03-12 11:50:00";5,6;0,007;Geprueft
"2018-04-03 12:00:00";4,00;0,005;Geprueft
"2018-04-30 12:15:00";3,9;0,005;Geprueft
"2018-05-28 13:00:00";3,6;0,015;Geprueft
"2018-06-25 08:50:00";4,3;0,011;Geprueft
"2018-07-23 13:20:00";1,3;0,021;Geprueft
"2018-08-13 11:30:00";3,7;0,006;Geprueft
"2018-09-11 13:55:00";4,2;0,025;Geprueft
"2018-10-08 15:40:00";3,3;0,015;Geprueft
"2018-11-05 14:36:00";4,00;0,078;Geprueft
"2018-12-17 13:34:00";5,00;0,022;Geprueft
"2020-01-21 11:10:00";5,00;0,009;Geprueft
"2020-02-03 11:35:00";;0,025;Geprueft
"2020-03-02 11:30:00";4,6;0,013;Geprueft
"2020-03-30 13:00:00";5,00;0,01;Geprueft
"2020-04-21 11:45:00";3,8;0,009;Geprueft
"2020-05-25 12:00:00";3,9;0,019;Geprueft
"2020-06-22 12:00:00";3,4;0,011;Geprueft
"2020-07-27 13:00:00";3,6;0,006;Geprueft
"2020-08-18 11:40:00";4,4;"< BG";Geprueft
"2020-09-29 12:50:00";4,1;0,009;Geprueft
"2020-10-26 12:20:00";4,00;0,01;Geprueft
