Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 16:21"
Zeitbezug:;MEZ
Messstellen-Name:;"Wegbrücke uh. Edhof"
Messstellen-Nr.:;12578
Gewässer:;Halsbach
Ostwert:;776587;Nordwert:;5339003;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2007-02-15 00:00:00";;0,038;Geprueft
"2007-03-26 11:50:00";;0,022;Geprueft
"2007-05-07 11:15:00";;0,022;Geprueft
"2007-06-18 11:20:00";;0,061;Geprueft
"2007-07-30 12:15:00";;0,073;Geprueft
"2007-08-29 00:00:00";;0,059;Geprueft
"2007-10-23 08:50:00";;0,026;Geprueft
"2007-12-05 12:00:00";;0,045;Geprueft
"2014-04-23 12:45:00";24,00;;Geprueft
"2014-05-20 11:50:00";24,00;;Geprueft
"2014-06-16 13:35:00";31,00;;Geprueft
"2014-07-15 12:45:00";27,00;;Geprueft
"2014-09-08 13:40:00";26,00;;Geprueft
"2014-10-06 13:30:00";21,00;;Geprueft
"2014-11-03 13:30:00";24,00;;Geprueft
"2014-12-01 14:50:00";24,00;;Geprueft
"2017-02-06 13:50:00";23,00;0,203;Geprueft
"2017-02-20 13:00:00";24,00;0,053;Geprueft
"2017-03-20 14:10:00";21,00;0,046;Geprueft
"2017-04-18 11:30:00";23,00;0,049;Geprueft
"2017-05-15 13:00:00";27,00;0,063;Geprueft
"2017-06-12 13:15:00";30,00;0,067;Geprueft
"2017-07-10 13:50:00";27,00;0,073;Geprueft
"2017-08-07 12:30:00";14,00;0,092;Geprueft
"2017-09-04 15:00:00";21,00;0,147;Geprueft
"2017-10-02 13:10:00";24,00;0,037;Geprueft
"2017-11-07 13:40:00";21,00;0,175;Geprueft
"2017-11-27 13:20:00";23,00;0,078;Geprueft
"2020-01-27 11:00:00";26,00;0,033;Geprueft
"2020-02-24 10:10:00";29,00;0,044;Geprueft
"2020-03-23 10:15:00";26,00;0,017;Geprueft
"2020-04-27 10:30:00";22,00;0,051;Geprueft
"2020-05-19 09:40:00";19,00;0,06;Geprueft
"2020-06-30 09:35:00";35,00;0,172;Geprueft
"2020-07-21 10:10:00";21,00;0,083;Geprueft
"2020-08-11 10:05:00";26,00;0,068;Geprueft
"2020-09-21 09:55:00";27,00;0,056;Geprueft
"2020-10-19 10:30:00";18,00;0,053;Geprueft
"2020-11-16 10:50:00";20,00;0,065;Geprueft
"2020-12-14 09:20:00";18,00;0,065;Geprueft
