Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 13:37"
Zeitbezug:;MEZ
Messstellen-Name:;"alte Brücke Hohenwart"
Messstellen-Nr.:;12581
Gewässer:;Alz
Ostwert:;780341;Nordwert:;5344676;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"1982-01-13 09:35:00";;0,05;Geprueft
"1982-02-02 08:35:00";;0,052;Geprueft
"1982-03-01 09:15:00";;0,097;Geprueft
"1982-03-28 07:45:00";;0,031;Geprueft
"1982-05-14 08:50:00";;0,054;Geprueft
"1982-06-24 08:20:00";;0,033;Geprueft
"1982-07-28 08:20:00";;0,07;Geprueft
"1982-08-17 09:35:00";;0,204;Geprueft
"1982-09-13 08:25:00";;0,078;Geprueft
"1982-10-10 09:30:00";;0,093;Geprueft
"1982-11-06 08:05:00";;0,087;Geprueft
"1982-12-03 08:00:00";;0,072;Geprueft
"1982-12-30 08:10:00";;0,06;Geprueft
"1983-01-26 07:50:00";;0,224;Geprueft
"1983-02-22 08:15:00";;0,035;Geprueft
"1983-03-21 08:20:00";;0,096;Geprueft
"1983-04-17 10:00:00";;0,037;Geprueft
"1983-05-14 09:10:00";;0,034;Geprueft
"1983-06-08 09:55:00";;0,068;Geprueft
"1983-07-07 10:15:00";;0,082;Geprueft
"1983-08-03 10:20:00";;0,084;Geprueft
"1983-08-30 12:50:00";;0,058;Geprueft
"1983-09-26 10:05:00";;0,07;Geprueft
"1983-10-23 08:20:00";;0,025;Geprueft
"1983-11-19 10:10:00";;0,052;Geprueft
"1983-12-16 09:00:00";;0,048;Geprueft
"1984-01-23 10:25:00";;0,144;Geprueft
"1984-02-28 09:55:00";;0,072;Geprueft
"1984-03-28 09:40:00";;0,129;Geprueft
"1984-04-25 09:10:00";;0,018;Geprueft
"1984-05-23 12:30:00";;0,048;Geprueft
"1984-06-20 11:00:00";;0,113;Geprueft
"1984-07-19 10:00:00";;0,063;Geprueft
"1984-09-12 10:00:00";;0,027;Geprueft
"1984-10-10 09:50:00";;0,025;Geprueft
"1985-01-02 10:20:00";;0,061;Geprueft
"1985-01-30 12:25:00";;0,146;Geprueft
"1985-02-13 10:50:00";;0,066;Geprueft
"1985-03-13 10:15:00";;0,107;Geprueft
"1985-04-10 09:55:00";;0,048;Geprueft
"1985-05-08 13:30:00";;0,115;Geprueft
"1985-06-04 11:55:00";;0,097;Geprueft
"1985-07-03 09:50:00";;0,069;Geprueft
"1985-07-31 10:05:00";;0,16;Geprueft
"1985-08-28 10:15:00";;0,025;Geprueft
"1985-09-25 09:45:00";;0,124;Geprueft
"1985-10-23 10:15:00";;0,074;Geprueft
"1985-11-21 10:30:00";;0,08;Geprueft
"1985-12-18 10:10:00";;0,117;Geprueft
"1986-01-15 10:25:00";;0,11;Geprueft
"1986-02-12 10:15:00";;0,093;Geprueft
"1986-03-12 10:45:00";;0,097;Geprueft
"1986-04-09 10:00:00";;0,051;Geprueft
"1986-05-06 10:30:00";;0,041;Geprueft
"1986-06-04 10:00:00";;0,078;Geprueft
"1986-07-02 10:15:00";;0,1;Geprueft
"1986-07-30 10:50:00";;0,076;Geprueft
"1986-08-27 10:20:00";;0,136;Geprueft
"1986-09-24 10:15:00";;0,106;Geprueft
"1986-10-22 11:05:00";;0,071;Geprueft
"1986-11-20 10:10:00";;0,086;Geprueft
"1986-12-17 10:50:00";;0,103;Geprueft
"1987-01-14 10:20:00";;0,068;Geprueft
"1987-02-11 10:35:00";;0,067;Geprueft
"1987-03-11 10:00:00";;0,078;Geprueft
"1987-04-08 10:35:00";;0,044;Geprueft
"1987-05-06 10:10:00";;0,028;Geprueft
"1987-06-03 11:05:00";;0,021;Geprueft
"1987-07-01 09:45:00";;0,033;Geprueft
"1987-07-29 10:25:00";;0,168;Geprueft
"1987-08-26 10:45:00";;0,033;Geprueft
"1987-09-23 10:10:00";;0,027;Geprueft
"1987-10-21 10:05:00";;0,06;Geprueft
"1987-11-19 10:35:00";;0,048;Geprueft
"1987-12-15 10:20:00";;0,055;Geprueft
"1988-01-13 10:15:00";;0,064;Geprueft
"1988-02-10 11:50:00";;0,053;Geprueft
"1988-03-09 11:40:00";;0,028;Geprueft
"1988-04-06 12:55:00";;0,029;Geprueft
"1988-05-04 09:45:00";;0,014;Geprueft
"1988-05-30 12:25:00";;0,036;Geprueft
"1988-06-29 10:50:00";;0,04;Geprueft
"1988-07-27 10:15:00";;0,044;Geprueft
"1988-08-24 09:50:00";;0,057;Geprueft
"1988-09-21 12:15:00";;0,069;Geprueft
"1988-11-17 11:15:00";;0,069;Geprueft
"1988-12-15 13:15:00";;0,024;Geprueft
"1989-01-10 10:15:00";;0,037;Geprueft
"1989-05-31 11:15:00";;0,193;Geprueft
"1989-06-28 14:30:00";;0,052;Geprueft
"1989-07-26 12:00:00";;0,075;Geprueft
"1989-08-23 12:40:00";;0,038;Geprueft
"1989-09-20 12:40:00";;0,077;Geprueft
"1989-10-18 10:10:00";;0,034;Geprueft
"1989-11-15 10:55:00";;0,056;Geprueft
"1989-12-11 10:10:00";;0,054;Geprueft
"2002-01-07 11:40:00";15,00;0,011;Geprueft
"2002-01-21 12:05:00";15,00;0,014;Geprueft
"2002-02-04 11:05:00";14,00;0,029;Geprueft
"2002-02-18 11:35:00";14,00;0,013;Geprueft
"2002-03-04 11:35:00";15,00;0,01;Geprueft
"2002-03-18 12:00:00";15,00;0,01;Geprueft
"2002-04-02 11:20:00";6,2;0,009;Geprueft
"2002-04-15 11:45:00";12,00;"< BG";Geprueft
"2002-04-29 11:25:00";9,7;"< BG";Geprueft
"2002-05-13 11:05:00";11,00;"< BG";Geprueft
"2002-05-27 11:50:00";11,00;0,007;Geprueft
"2002-06-10 11:15:00";10,00;0,014;Geprueft
"2002-06-24 11:00:00";11,00;0,027;Geprueft
"2002-07-08 11:15:00";12,00;0,009;Geprueft
"2002-07-22 11:20:00";8,00;0,008;Geprueft
"2002-08-05 11:10:00";13,00;0,012;Geprueft
"2002-08-19 11:30:00";4,3;"< BG";Geprueft
"2002-09-02 11:30:00";4,9;"< BG";Geprueft
"2002-09-16 11:15:00";12,00;"< BG";Geprueft
"2002-09-30 11:30:00";6,6;"< BG";Geprueft
"2002-10-14 11:30:00";6,2;0,008;Geprueft
"2002-10-28 11:30:00";10,00;0,01;Geprueft
"2002-11-11 10:45:00";6,2;0,013;Geprueft
"2002-11-25 11:20:00";8,4;0,016;Geprueft
"2002-12-09 11:45:00";15,00;0,009;Geprueft
"2002-12-17 11:30:00";16,00;0,028;Geprueft
"2003-01-07 12:10:00";12,00;0,007;Geprueft
"2003-01-20 11:30:00";15,00;0,01;Geprueft
"2003-02-04 11:30:00";13,00;0,015;Geprueft
"2003-02-17 11:45:00";14,00;0,01;Geprueft
"2003-03-03 11:00:00";14,00;0,008;Geprueft
"2003-03-17 11:00:00";14,00;0,009;Geprueft
"2003-03-31 11:30:00";13,00;0,007;Geprueft
"2003-04-14 11:45:00";13,00;"< BG";Geprueft
"2003-04-28 11:50:00";13,00;"< BG";Geprueft
"2003-05-12 12:00:00";12,00;0,006;Geprueft
"2003-05-26 11:35:00";12,00;0,012;Geprueft
"2003-06-10 11:40:00";11,00;0,011;Geprueft
"2003-06-23 11:20:00";12,00;0,013;Geprueft
"2003-07-07 11:05:00";12,00;0,012;Geprueft
"2003-07-21 12:40:00";12,00;0,008;Geprueft
"2003-08-04 11:15:00";12,00;0,007;Geprueft
"2003-08-18 11:05:00";13,00;"< BG";Geprueft
"2003-09-01 12:00:00";12,00;0,006;Geprueft
"2003-09-15 11:20:00";14,00;0,009;Geprueft
"2003-09-29 11:15:00";14,00;0,011;Geprueft
"2003-10-13 11:40:00";5,8;"< BG";Geprueft
"2003-10-27 12:00:00";13,00;0,015;Geprueft
"2003-11-10 11:15:00";15,00;0,013;Geprueft
"2003-11-24 11:30:00";12,00;0,016;Geprueft
"2003-12-09 11:15:00";15,00;0,012;Geprueft
"2003-12-22 11:05:00";15,00;0,017;Geprueft
"2004-01-07 11:30:00";14,00;0,024;Geprueft
"2004-01-19 11:00:00";17,00;0,013;Geprueft
"2004-02-02 11:45:00";17,00;0,01;Geprueft
"2004-02-16 11:20:00";19,00;0,009;Geprueft
"2004-03-01 12:05:00";15,00;"< BG";Geprueft
"2004-03-18 11:20:00";15,00;"< BG";Geprueft
"2004-03-29 11:15:00";15,00;0,006;Geprueft
"2004-04-13 11:00:00";11,00;0,01;Geprueft
"2004-04-26 11:10:00";15,00;0,006;Geprueft
"2004-05-10 11:05:00";12,00;0,01;Geprueft
"2004-05-24 11:40:00";8,9;0,008;Geprueft
