Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 16:21"
Zeitbezug:;MEZ
Messstellen-Name:;"Wiesmuehle, Bruecke"
Messstellen-Nr.:;12614
Gewässer:;"Tanner Bach"
Ostwert:;789904;Nordwert:;5355180;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2010-03-16 00:00:00";;0,1;Geprueft
"2010-04-14 00:00:00";;0,038;Geprueft
"2010-06-16 00:01:00";;0,079;Geprueft
"2010-07-07 00:01:00";;0,07;Geprueft
"2010-09-01 00:01:00";;0,057;Geprueft
"2010-09-27 00:01:00";;0,053;Geprueft
"2010-10-20 00:01:00";;0,055;Geprueft
"2010-11-24 00:00:00";;0,071;Geprueft
"2015-01-28 12:30:00";23,00;0,057;Geprueft
"2015-02-24 00:00:00";20,00;0,094;Geprueft
"2015-03-18 00:00:00";24,00;0,042;Geprueft
"2015-04-15 00:00:00";19,00;0,043;Geprueft
"2015-05-27 00:00:00";27,00;0,068;Geprueft
"2015-06-23 00:00:00";17,00;0,085;Geprueft
"2015-07-21 00:00:00";20,00;0,071;Geprueft
"2015-08-12 00:00:00";20,00;0,076;Geprueft
"2015-09-15 00:00:00";20,00;0,21;Geprueft
"2015-10-26 00:00:00";21,00;0,05;Geprueft
"2015-12-07 00:00:00";21,00;0,054;Geprueft
"2016-01-25 00:00:00";27,00;0,062;Geprueft
"2016-02-17 00:00:00";22,00;0,056;Geprueft
"2016-03-15 00:00:00";22,00;0,059;Geprueft
"2016-04-19 00:00:00";20,00;0,064;Geprueft
"2016-05-30 00:00:00";31,00;0,17;Geprueft
"2016-06-29 00:00:00";19,00;0,068;Geprueft
"2016-07-26 00:00:00";14,00;0,102;Geprueft
"2016-09-06 11:30:00";14,00;0,07;Geprueft
"2016-10-04 10:00:00";19,00;0,059;Geprueft
"2016-10-25 10:00:00";20,00;0,036;Geprueft
"2016-11-22 08:50:00";20,00;0,048;Geprueft
"2016-12-07 09:35:00";22,00;0,04;Geprueft
"2017-01-24 10:30:00";24,00;0,045;Geprueft
"2017-02-21 11:00:00";27,00;0,083;Geprueft
"2017-03-22 11:20:00";22,00;0,076;Geprueft
"2017-04-11 00:00:00";19,00;0,047;Geprueft
"2017-05-03 10:00:00";22,00;0,062;Geprueft
"2017-06-28 07:40:00";19,00;0,182;Geprueft
"2017-07-10 13:20:00";18,00;0,1;Geprueft
"2017-08-21 00:00:00";17,00;0,057;Geprueft
"2017-09-04 12:50:00";17,00;0,062;Geprueft
"2017-10-23 09:45:00";19,00;0,056;Geprueft
"2017-12-06 13:35:00";20,00;0,057;Geprueft
"2017-12-13 13:40:00";22,00;0,069;Geprueft
"2018-01-09 12:55:00";22,00;0,041;Geprueft
"2018-02-20 09:20:00";21,00;0,033;Geprueft
"2018-03-12 09:00:00";18,00;0,045;Geprueft
"2018-04-10 13:15:00";22,00;0,031;Geprueft
"2018-05-08 00:00:00";20,00;0,059;Geprueft
"2018-06-11 12:30:00";21,00;0,073;Geprueft
"2018-07-04 13:00:00";17,00;0,07;Geprueft
"2018-08-22 12:45:00";17,00;0,052;Geprueft
"2018-10-10 12:50:00";20,00;0,038;Geprueft
"2018-10-29 13:10:00";21,00;0,092;Geprueft
"2018-11-07 13:20:00";20,00;0,048;Geprueft
"2018-11-27 14:00:00";17,00;0,099;Geprueft
"2019-01-16 00:00:00";31,00;0,059;Geprueft
"2019-02-13 08:35:00";27,00;0,049;Geprueft
"2019-03-11 13:00:00";24,00;0,063;Geprueft
"2019-04-09 00:00:00";22,00;0,042;Geprueft
"2019-05-06 13:10:00";21,00;0,056;Geprueft
"2019-07-02 13:20:00";17,00;0,087;Geprueft
"2019-07-31 12:30:00";20,00;0,069;Geprueft
"2019-08-26 11:40:00";18,00;0,053;Geprueft
"2019-10-23 14:00:00";19,00;0,039;Geprueft
"2019-11-20 09:00:00";22,00;0,048;Geprueft
"2020-01-14 07:45:00";24,00;0,049;Geprueft
"2020-02-11 08:45:00";20,00;0,082;Geprueft
"2020-03-09 08:05:00";22,00;0,038;Geprueft
"2020-04-06 09:10:00";21,00;0,033;Geprueft
"2020-05-04 08:35:00";18,00;0,058;Geprueft
"2020-06-16 08:20:00";46,00;0,116;Geprueft
"2020-07-27 08:50:00";15,00;0,073;Geprueft
"2020-08-24 00:00:00";15,00;0,066;Geprueft
"2020-09-21 08:20:00";19,00;0,049;Geprueft
"2020-10-13 08:30:00";19,00;0,061;Geprueft
"2020-11-09 08:00:00";20,00;0,043;Geprueft
"2020-12-07 08:30:00";23,00;0,053;Geprueft
