Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:44"
Zeitbezug:;MEZ
Messstellen-Name:;"KOLLBERG BRUECKE"
Messstellen-Nr.:;12615
Gewässer:;Türkenbach
Ostwert:;789239;Nordwert:;5351063;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2019-03-11 12:35:00";20,00;0,066;Geprueft
"2019-04-09 00:00:00";18,00;0,032;Geprueft
"2019-05-06 12:40:00";16,00;0,05;Geprueft
"2019-07-02 12:55:00";14,00;0,071;Geprueft
"2019-07-31 12:00:00";14,00;0,089;Geprueft
"2019-08-26 11:20:00";14,00;0,08;Geprueft
"2019-10-23 13:45:00";16,00;0,037;Geprueft
"2019-11-20 09:20:00";18,00;0,04;Geprueft
"2020-01-14 08:05:00";20,00;0,04;Geprueft
"2020-02-11 09:20:00";21,00;0,078;Geprueft
"2020-03-09 08:40:00";20,00;0,031;Geprueft
"2020-04-06 09:45:00";18,00;0,029;Geprueft
"2020-05-04 09:00:00";15,00;0,049;Geprueft
"2020-06-16 09:05:00";39,00;0,127;Geprueft
"2020-07-27 09:15:00";15,00;0,049;Geprueft
"2020-08-24 00:00:00";15,00;0,069;Geprueft
"2020-09-21 08:40:00";16,00;0,039;Geprueft
"2020-10-13 09:05:00";16,00;0,062;Geprueft
"2020-11-09 08:40:00";18,00;0,05;Geprueft
