Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:55"
Zeitbezug:;MEZ
Messstellen-Name:;"oh Brücke ca. Fkm 1,2"
Messstellen-Nr.:;12678
Gewässer:;Steinbach
Ostwert:;781428;Nordwert:;5286700;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2007-02-27 00:00:00";3,6;"< BG";Geprueft
"2007-04-11 00:00:00";2,9;"< BG";Geprueft
"2007-05-21 10:20:00";1,8;"< BG";Geprueft
"2007-06-25 11:20:00";2,4;"< BG";Geprueft
"2007-08-07 00:00:00";1,9;"< BG";Geprueft
"2007-10-01 00:00:00";2,5;"< BG";Geprueft
"2007-11-06 09:48:00";2,8;"< BG";Geprueft
"2007-12-12 10:40:00";2,9;"< BG";Geprueft
"2010-02-01 11:10:00";3,4;"< BG";Geprueft
"2010-03-10 10:05:00";3,9;"< BG";Geprueft
"2010-04-21 11:04:00";3,4;"< BG";Geprueft
"2010-06-01 08:10:00";2,6;"< BG";Geprueft
"2010-07-19 11:00:00";2,8;"< BG";Geprueft
"2010-08-25 14:10:00";2,00;"< BG";Geprueft
"2010-10-19 10:15:00";3,00;"< BG";Geprueft
"2010-12-01 09:30:00";2,7;"< BG";Geprueft
"2013-01-22 09:40:00";3,6;"< BG";Geprueft
"2013-03-05 11:30:00";3,7;"< BG";Geprueft
"2013-04-17 10:38:00";3,1;"< BG";Geprueft
"2013-06-11 10:30:00";2,5;"< BG";Geprueft
"2013-07-23 10:20:00";2,8;"< BG";Geprueft
"2013-09-03 12:10:00";2,7;"< BG";Geprueft
"2013-10-07 12:10:00";2,6;"< BG";Geprueft
"2013-11-05 10:45:00";2,5;"< BG";Geprueft
"2016-01-25 09:25:00";3,6;"< BG";Geprueft
"2016-02-22 09:40:00";2,8;0,005;Geprueft
"2016-03-21 09:45:00";2,7;"< BG";Geprueft
"2016-04-18 10:20:00";1,2;"< BG";Geprueft
"2016-05-23 09:20:00";2,3;"< BG";Geprueft
"2016-06-20 09:30:00";1,2;"< BG";Geprueft
"2016-07-18 10:00:00";1,9;"< BG";Geprueft
"2016-08-22 09:35:00";1,9;"< BG";Geprueft
"2016-09-12 09:35:00";2,2;"< BG";Geprueft
"2016-10-10 09:35:00";2,6;"< BG";Geprueft
"2016-11-07 09:50:00";3,00;"< BG";Geprueft
"2016-12-13 09:40:00";3,6;"< BG";Geprueft
"2019-01-28 09:15:00";2,9;"< BG";Geprueft
"2019-02-12 08:20:00";3,3;"< BG";Geprueft
"2019-03-12 08:30:00";2,3;"< BG";Geprueft
"2019-04-09 08:25:00";1,9;"< BG";Geprueft
"2019-05-07 08:40:00";2,1;"< BG";Geprueft
"2019-06-04 09:25:00";1,2;"< BG";Geprueft
"2019-07-02 08:15:00";2,2;"< BG";Geprueft
"2019-07-30 08:40:00";2,3;"< BG";Geprueft
"2019-08-20 09:05:00";2,5;"< BG";Geprueft
"2019-09-24 08:50:00";2,5;"< BG";Geprueft
"2019-10-22 08:25:00";2,5;"< BG";Geprueft
"2019-11-19 07:45:00";2,8;"< BG";Geprueft
"2019-12-04 10:15:00";3,00;"< BG";Geprueft
