Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:44"
Zeitbezug:;MEZ
Messstellen-Name:;"Laufen Messstation"
Messstellen-Nr.:;12771
Gewässer:;Salzach
Ostwert:;793265;Nordwert:;5316906;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"1982-01-07 10:15:00";4,00;0,049;Geprueft
"1982-01-20 11:05:00";4,00;0,052;Geprueft
"1982-02-03 10:05:00";4,4;0,05;Geprueft
"1982-02-17 09:55:00";3,1;0,059;Geprueft
"1982-03-03 09:45:00";3,5;0,045;Geprueft
"1982-03-17 09:50:00";2,7;0,047;Geprueft
"1982-03-31 09:50:00";4,00;0,027;Geprueft
"1982-04-14 09:45:00";3,5;0,043;Geprueft
"1982-04-28 09:30:00";3,1;0,032;Geprueft
"1982-05-11 09:30:00";3,1;0,045;Geprueft
"1982-05-26 09:40:00";2,7;0,048;Geprueft
"1982-06-09 09:45:00";2,2;0,024;Geprueft
"1982-06-23 09:55:00";2,7;0,031;Geprueft
"1982-07-07 09:40:00";2,2;0,042;Geprueft
"1982-07-21 09:50:00";2,2;0,032;Geprueft
"1982-08-04 10:00:00";2,7;0,031;Geprueft
"1982-08-18 09:40:00";2,7;0,044;Geprueft
"1982-09-01 09:45:00";2,7;0,066;Geprueft
"1982-09-15 10:05:00";1,8;0,053;Geprueft
"1982-09-29 10:00:00";1,8;0,067;Geprueft
"1982-10-13 09:50:00";2,2;0,093;Geprueft
"1982-10-27 10:00:00";1,8;0,042;Geprueft
"1982-11-10 09:40:00";1,8;0,061;Geprueft
"1982-11-24 09:30:00";1,8;0,038;Geprueft
"1982-12-08 09:35:00";1,3;0,043;Geprueft
"1982-12-22 10:05:00";3,1;0,049;Geprueft
"1983-01-05 09:40:00";3,5;0,095;Geprueft
"1983-01-19 09:50:00";3,5;0,056;Geprueft
"1983-02-02 10:00:00";3,1;0,035;Geprueft
"1983-02-13 13:30:00";3,1;0,046;Geprueft
"1983-03-02 10:20:00";4,4;0,063;Geprueft
"1983-03-16 10:35:00";2,7;0,043;Geprueft
"1983-03-29 13:00:00";2,7;0,045;Geprueft
"1983-04-17 11:20:00";3,1;0,033;Geprueft
"1983-04-27 10:30:00";1,8;0,026;Geprueft
"1983-05-12 12:05:00";2,2;0,025;Geprueft
"1983-05-25 10:45:00";1,8;0,046;Geprueft
"1983-06-08 13:00:00";1,8;0,027;Geprueft
"1983-06-22 12:05:00";2,2;0,046;Geprueft
"1983-07-07 12:40:00";2,2;0,028;Geprueft
"1983-07-17 12:50:00";1,8;0,029;Geprueft
"1983-08-03 12:40:00";2,2;0,034;Geprueft
"1983-08-17 10:50:00";2,2;0,046;Geprueft
"1983-09-01 10:20:00";1,8;0,041;Geprueft
"1983-09-14 10:00:00";1,8;0,046;Geprueft
"1983-09-26 12:45:00";1,8;0,032;Geprueft
"1983-10-13 13:20:00";2,2;0,03;Geprueft
"1983-10-26 10:30:00";1,8;0,033;Geprueft
"1983-11-09 10:00:00";1,8;0,038;Geprueft
"1983-11-19 12:05:00";1,8;0,025;Geprueft
"1983-12-07 10:05:00";2,2;0,036;Geprueft
"1983-12-18 12:55:00";1,8;0,037;Geprueft
"1984-01-04 09:50:00";3,1;0,052;Geprueft
"1984-01-18 10:25:00";3,1;0,056;Geprueft
"1984-01-31 12:50:00";1,8;0,063;Geprueft
"1984-02-15 10:30:00";2,2;0,039;Geprueft
"1984-02-29 09:45:00";1,8;0,052;Geprueft
"1984-03-15 12:25:00";2,2;0,057;Geprueft
"1984-03-28 11:15:00";3,1;0,037;Geprueft
"1984-04-11 10:30:00";3,1;0,035;Geprueft
"1984-04-25 11:20:00";3,5;0,041;Geprueft
"1984-05-09 11:40:00";3,1;0,034;Geprueft
"1984-05-23 13:15:00";2,2;0,021;Geprueft
"1984-06-06 11:10:00";2,2;0,037;Geprueft
"1984-06-20 11:50:00";1,8;0,032;Geprueft
"1984-07-03 12:55:00";2,2;0,034;Geprueft
"1984-07-19 11:25:00";2,2;0,037;Geprueft
"1984-08-01 11:00:00";2,2;0,035;Geprueft
"1984-08-16 13:40:00";2,2;0,031;Geprueft
"1984-08-29 11:50:00";1,8;0,032;Geprueft
"1984-09-12 11:30:00";2,2;0,03;Geprueft
"1984-09-26 10:45:00";2,7;0,025;Geprueft
"1984-10-10 11:30:00";2,7;0,037;Geprueft
"1984-10-24 13:35:00";2,2;0,025;Geprueft
"1984-11-07 11:15:00";2,2;0,032;Geprueft
"1984-11-22 10:25:00";2,2;0,03;Geprueft
"1984-12-05 12:15:00";2,2;0,027;Geprueft
"1984-12-19 10:40:00";2,2;0,03;Geprueft
"1985-01-02 12:50:00";3,5;0,087;Geprueft
"1985-01-16 12:30:00";2,2;0,069;Geprueft
"1985-01-30 13:50:00";3,1;0,105;Geprueft
"1985-02-13 13:50:00";4,00;0,057;Geprueft
"1985-02-27 10:50:00";2,7;0,061;Geprueft
"1985-03-13 13:50:00";2,7;0,049;Geprueft
"1985-03-27 10:20:00";3,1;0,03;Geprueft
"1985-04-10 12:00:00";4,00;0,053;Geprueft
"1985-04-24 10:25:00";3,5;0,047;Geprueft
"1985-05-08 14:30:00";3,5;0,036;Geprueft
"1985-05-22 10:05:00";2,7;0,042;Geprueft
"1985-06-04 13:45:00";2,2;0,042;Geprueft
"1985-06-19 10:35:00";2,7;0,035;Geprueft
"1985-07-03 11:40:00";2,2;0,032;Geprueft
"1985-07-17 10:30:00";2,2;0,036;Geprueft
"1985-07-31 12:05:00";2,7;0,051;Geprueft
"1985-08-14 10:15:00";2,7;0,019;Geprueft
"1985-08-28 12:15:00";2,7;0,025;Geprueft
"1985-09-11 10:50:00";2,7;0,024;Geprueft
"1985-09-25 11:30:00";2,2;0,027;Geprueft
"1985-10-09 10:50:00";2,2;0,045;Geprueft
"1985-10-23 11:50:00";2,2;0,033;Geprueft
"1985-11-06 10:45:00";2,7;0,036;Geprueft
"1985-11-21 13:45:00";2,2;0,05;Geprueft
"1985-12-04 10:35:00";3,5;0,037;Geprueft
"1985-12-18 12:10:00";3,5;0,042;Geprueft
"1986-01-09 11:00:00";3,5;0,053;Geprueft
"1986-01-15 13:15:00";4,00;0,047;Geprueft
"1986-01-29 10:40:00";3,5;0,043;Geprueft
"1986-02-12 11:45:00";3,5;0,044;Geprueft
"1986-02-26 10:30:00";3,1;0,05;Geprueft
"1986-03-12 13:30:00";3,5;0,055;Geprueft
"1986-03-26 10:35:00";4,4;0,044;Geprueft
"1986-04-09 11:55:00";4,00;0,026;Geprueft
"1986-04-23 10:50:00";3,1;0,03;Geprueft
"1986-05-06 12:45:00";3,1;0,026;Geprueft
"1986-05-21 11:10:00";2,2;0,033;Geprueft
"1986-06-04 11:45:00";3,1;0,036;Geprueft
"1986-06-18 10:55:00";2,2;0,035;Geprueft
"1986-07-02 11:50:00";2,2;0,025;Geprueft
"1986-07-16 11:15:00";2,7;0,055;Geprueft
"1986-07-30 14:10:00";2,7;0,039;Geprueft
"1986-08-13 11:05:00";2,7;0,055;Geprueft
"1986-08-27 12:10:00";2,2;0,029;Geprueft
"1986-09-10 10:45:00";2,2;0,028;Geprueft
"1986-09-24 11:40:00";1,8;0,017;Geprueft
"1986-10-08 10:40:00";1,3;0,023;Geprueft
"1986-10-22 13:45:00";2,7;0,044;Geprueft
"1986-11-05 11:05:00";2,2;0,032;Geprueft
"1986-11-20 11:35:00";1,3;0,031;Geprueft
"1986-12-03 11:10:00";2,2;0,044;Geprueft
"1986-12-17 13:15:00";2,2;0,077;Geprueft
"1987-01-07 12:10:00";3,5;0,048;Geprueft
"1987-01-14 12:15:00";3,5;0,055;Geprueft
"1987-01-28 13:00:00";2,7;0,062;Geprueft
"1987-02-11 13:15:00";4,9;0,052;Geprueft
"1987-02-25 11:55:00";3,5;0,087;Geprueft
"1987-03-11 11:50:00";4,00;0,068;Geprueft
"1987-03-25 11:45:00";4,00;0,037;Geprueft
"1987-04-08 12:50:00";4,00;0,038;Geprueft
"1987-04-22 11:50:00";3,5;0,024;Geprueft
"1987-05-06 11:35:00";3,1;0,025;Geprueft
"1987-05-20 10:50:00";3,1;0,022;Geprueft
"1987-06-03 14:00:00";2,2;0,009;Geprueft
"1987-06-15 11:15:00";1,8;0,012;Geprueft
"1987-07-01 13:20:00";1,8;0,017;Geprueft
"1987-07-15 13:20:00";1,8;0,009;Geprueft
"1987-07-29 12:45:00";2,2;0,013;Geprueft
"1987-08-12 11:10:00";1,8;;Geprueft
"1987-08-26 11:45:00";1,8;0,005;Geprueft
"1987-09-09 11:00:00";1,8;0,005;Geprueft
"1987-09-23 12:10:00";1,8;0,01;Geprueft
"1987-10-07 12:25:00";2,2;0,041;Geprueft
"1987-10-21 11:40:00";1,8;0,008;Geprueft
"1987-11-04 10:55:00";2,2;0,005;Geprueft
"1987-11-19 14:00:00";2,2;0,007;Geprueft
"1987-12-02 11:15:00";2,2;0,005;Geprueft
"1987-12-15 13:15:00";2,7;0,011;Geprueft
"1988-01-07 11:30:00";3,1;0,025;Geprueft
"1988-01-13 12:00:00";3,1;0,026;Geprueft
"1988-01-27 09:30:00";3,1;0,046;Geprueft
"1988-02-10 09:20:00";2,7;0,031;Geprueft
"1988-02-24 12:40:00";2,2;0,028;Geprueft
"1988-03-09 09:25:00";4,00;0,067;Geprueft
"1988-03-23 11:35:00";6,2;0,044;Geprueft
"1988-04-06 08:55:00";5,3;0,041;Geprueft
"1988-04-20 11:45:00";4,00;0,024;Geprueft
"1988-05-04 13:45:00";3,5;0,037;Geprueft
"1988-05-18 11:05:00";2,2;0,025;Geprueft
"1988-05-30 09:10:00";;0,021;Geprueft
"1988-06-15 11:20:00";2,7;0,024;Geprueft
"1988-06-29 09:25:00";2,2;0,023;Geprueft
"1988-07-13 10:10:00";2,2;0,02;Geprueft
"1988-07-27 12:45:00";2,2;0,037;Geprueft
"1988-08-10 09:35:00";2,2;0,032;Geprueft
"1988-08-24 11:35:00";2,2;0,016;Geprueft
"1988-09-07 09:45:00";2,2;;Geprueft
"1988-09-21 09:15:00";2,2;0,02;Geprueft
"1988-10-05 09:10:00";2,7;0,036;Geprueft
"1988-11-02 10:25:00";3,5;0,03;Geprueft
"1988-11-17 09:35:00";3,5;0,025;Geprueft
"1988-11-30 11:55:00";;0,042;Geprueft
"1988-12-15 10:45:00";;0,03;Geprueft
"1989-01-10 11:40:00";;0,062;Geprueft
"1989-01-25 10:40:00";3,5;0,043;Geprueft
"1989-02-08 13:00:00";3,5;0,042;Geprueft
"1989-02-22 10:20:00";3,5;0,041;Geprueft
"1989-03-21 09:40:00";3,5;0,041;Geprueft
"1989-04-19 09:55:00";3,1;0,029;Geprueft
"1989-05-17 10:20:00";3,1;0,039;Geprueft
"1989-05-31 09:25:00";2,2;0,028;Geprueft
"1989-06-15 11:00:00";3,1;0,028;Geprueft
"1989-06-28 10:00:00";3,1;0,056;Geprueft
"1989-07-12 10:20:00";2,2;0,02;Geprueft
"1989-07-26 09:50:00";2,2;0,029;Geprueft
"1989-08-09 11:10:00";2,7;0,035;Geprueft
"1989-08-23 09:20:00";2,2;0,011;Geprueft
"1989-09-06 10:35:00";2,7;0,024;Geprueft
"1989-09-20 09:20:00";4,00;0,053;Geprueft
"1989-10-04 10:15:00";2,7;0,026;Geprueft
"1989-10-18 14:50:00";3,1;0,038;Geprueft
"1989-11-02 12:50:00";3,1;0,033;Geprueft
"1989-11-15 09:25:00";3,1;0,025;Geprueft
"1989-11-29 11:00:00";3,5;0,043;Geprueft
"1989-12-11 12:15:00";4,00;0,033;Geprueft
"1990-01-03 10:10:00";2,7;0,08;Geprueft
"1990-01-10 09:00:00";3,5;0,068;Geprueft
"1990-01-24 09:30:00";4,00;0,061;Geprueft
"1990-02-07 09:00:00";4,00;0,047;Geprueft
"1990-02-21 10:00:00";4,4;0,011;Geprueft
"1990-03-07 09:35:00";4,00;0,043;Geprueft
"1990-03-21 09:30:00";3,5;0,021;Geprueft
"1990-04-04 09:30:00";3,5;0,037;Geprueft
"1990-04-18 09:05:00";3,5;0,017;Geprueft
"1990-05-02 09:50:00";3,5;0,019;Geprueft
"1990-05-16 09:40:00";2,1;0,021;Geprueft
"1990-05-30 09:15:00";3,1;0,029;Geprueft
"1990-06-12 09:55:00";2,7;0,021;Geprueft
"1990-06-26 09:30:00";2,7;0,009;Geprueft
"1990-07-11 10:20:00";1,8;0,011;Geprueft
"1990-07-25 09:20:00";2,7;0,024;Geprueft
