Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:18"
Zeitbezug:;MEZ
Messstellen-Name:;"Brücke oberhalb Mündung"
Messstellen-Nr.:;12857
Gewässer:;Alzkanal
Ostwert:;786788;Nordwert:;5344787;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"1982-01-13 10:05:00";;0,05;Geprueft
"1982-02-02 09:05:00";;0,064;Geprueft
"1982-03-01 09:50:00";;0,056;Geprueft
"1982-03-28 08:10:00";;0,041;Geprueft
"1982-04-24 09:00:00";;0,017;Geprueft
"1982-05-14 08:10:00";;0,094;Geprueft
"1982-06-24 08:50:00";;0,03;Geprueft
"1982-07-28 08:50:00";;0,11;Geprueft
"1982-08-17 08:15:00";;0,069;Geprueft
"1982-09-13 08:55:00";;0,065;Geprueft
"1982-10-10 08:30:00";;0,123;Geprueft
"1982-11-06 09:10:00";;0,117;Geprueft
"1982-12-03 08:30:00";;0,099;Geprueft
"1982-12-30 08:45:00";;0,077;Geprueft
"1983-01-26 08:30:00";;0,045;Geprueft
"1983-02-22 08:45:00";;0,053;Geprueft
"1983-03-21 08:55:00";;0,027;Geprueft
"1983-04-17 09:35:00";;0,035;Geprueft
"1983-05-14 09:45:00";;0,029;Geprueft
"1983-06-08 11:10:00";;0,032;Geprueft
"1983-07-07 10:55:00";;0,071;Geprueft
"1983-08-03 11:05:00";;0,15;Geprueft
"1983-08-30 12:05:00";;0,029;Geprueft
"1983-09-26 10:35:00";;0,081;Geprueft
"1983-10-23 09:20:00";;0,033;Geprueft
"1983-11-19 10:35:00";;0,103;Geprueft
"1983-12-16 09:25:00";;0,043;Geprueft
"1999-01-13 11:30:00";;0,013;Geprueft
"1999-01-27 10:50:00";;0,018;Geprueft
"1999-02-08 13:30:00";;0,008;Geprueft
"1999-02-24 11:45:00";;0,028;Geprueft
"1999-03-10 11:10:00";;0,018;Geprueft
"1999-03-24 11:00:00";;0,017;Geprueft
"1999-04-07 10:50:00";;0,035;Geprueft
"1999-04-21 11:30:00";;0,008;Geprueft
"1999-05-03 12:00:00";;"< BG";Geprueft
"1999-05-19 12:00:00";;0,005;Geprueft
"1999-05-31 11:50:00";;0,005;Geprueft
"1999-06-07 10:45:00";;0,005;Geprueft
"1999-06-16 11:30:00";;0,005;Geprueft
"1999-06-30 13:30:00";;"< BG";Geprueft
"1999-07-12 11:10:00";;0,01;Geprueft
"1999-07-28 11:00:00";;0,005;Geprueft
"1999-08-09 11:30:00";;0,005;Geprueft
"1999-08-25 11:35:00";;0,007;Geprueft
"1999-09-08 13:45:00";;0,01;Geprueft
"1999-09-22 10:30:00";;0,01;Geprueft
"1999-10-06 11:00:00";;0,013;Geprueft
"1999-10-20 11:20:00";;0,025;Geprueft
"1999-11-03 10:50:00";;0,018;Geprueft
"1999-11-15 11:50:00";;0,01;Geprueft
"1999-12-01 11:45:00";;0,007;Geprueft
"1999-12-13 11:50:00";;0,01;Geprueft
"1999-12-29 11:30:00";;0,017;Geprueft
"2000-01-10 11:50:00";3,3;0,012;Geprueft
"2000-01-24 11:35:00";6,2;0,008;Geprueft
"2000-02-07 11:00:00";5,3;0,008;Geprueft
"2000-02-21 11:05:00";5,3;0,01;Geprueft
"2000-03-06 10:55:00";4,3;0,007;Geprueft
"2000-03-20 11:00:00";5,3;0,01;Geprueft
"2000-04-03 11:35:00";4,4;0,005;Geprueft
"2000-04-17 11:00:00";4,4;"< BG";Geprueft
"2000-05-02 11:40:00";3,5;"< BG";Geprueft
"2000-05-15 11:35:00";4,1;"< BG";Geprueft
"2000-05-29 10:30:00";4,1;0,005;Geprueft
"2000-06-13 10:40:00";4,9;0,005;Geprueft
"2000-06-26 11:00:00";4,4;0,007;Geprueft
"2000-07-10 11:16:00";4,9;0,005;Geprueft
"2000-07-24 11:00:00";4,1;"< BG";Geprueft
"2000-08-07 11:15:00";2,4;"< BG";Geprueft
"2000-08-21 11:25:00";4,4;"< BG";Geprueft
"2000-09-04 10:50:00";4,9;0,007;Geprueft
"2000-09-18 11:10:00";4,3;0,01;Geprueft
"2000-10-04 10:50:00";4,3;0,012;Geprueft
"2000-10-16 11:30:00";3,8;0,01;Geprueft
"2000-10-30 11:20:00";4,4;0,007;Geprueft
"2000-11-13 11:25:00";4,4;0,005;Geprueft
"2000-11-27 10:45:00";5,3;0,007;Geprueft
"2000-12-11 10:50:00";6,2;0,008;Geprueft
"2000-12-27 11:15:00";6,2;0,012;Geprueft
"2001-01-08 11:10:00";6,2;0,018;Geprueft
"2001-01-22 11:10:00";6,6;0,015;Geprueft
"2001-02-05 11:30:00";5,8;0,02;Geprueft
"2001-02-19 11:15:00";5,3;0,007;Geprueft
"2001-03-05 10:50:00";4,9;0,015;Geprueft
"2001-03-19 11:10:00";4,4;0,007;Geprueft
"2001-04-02 10:55:00";4,4;"< BG";Geprueft
"2001-04-17 11:25:00";4,4;0,005;Geprueft
"2001-05-02 11:30:00";4,4;"< BG";Geprueft
"2001-05-14 11:50:00";4,3;0,005;Geprueft
"2001-05-28 10:45:00";4,00;"< BG";Geprueft
"2001-06-11 11:30:00";4,9;0,022;Geprueft
"2001-06-25 10:45:00";4,2;"< BG";Geprueft
"2001-07-09 11:05:00";4,4;"< BG";Geprueft
"2001-07-23 11:20:00";4,9;"< BG";Geprueft
"2001-08-06 11:05:00";4,9;0,01;Geprueft
"2001-08-20 11:00:00";4,3;0,005;Geprueft
"2001-09-03 10:40:00";4,4;0,017;Geprueft
"2001-09-17 11:10:00";3,9;0,008;Geprueft
"2001-10-01 11:10:00";4,2;0,005;Geprueft
"2001-10-15 11:00:00";4,9;0,007;Geprueft
"2001-10-29 11:10:00";3,6;0,005;Geprueft
"2001-11-12 11:45:00";4,9;0,008;Geprueft
"2001-11-26 11:45:00";5,3;0,008;Geprueft
"2001-12-10 11:20:00";4,1;0,007;Geprueft
"2001-12-19 11:10:00";4,4;0,007;Geprueft
"2002-01-07 11:20:00";5,8;0,008;Geprueft
"2002-01-21 11:30:00";6,2;0,007;Geprueft
"2002-02-04 10:50:00";5,3;0,01;Geprueft
"2002-02-18 11:10:00";4,9;0,005;Geprueft
"2002-03-04 11:10:00";4,9;0,007;Geprueft
"2002-03-18 11:30:00";4,9;"< BG";Geprueft
"2002-04-02 11:00:00";4,2;0,008;Geprueft
"2002-04-15 11:10:00";4,9;"< BG";Geprueft
"2002-04-29 10:55:00";3,5;"< BG";Geprueft
"2002-05-13 10:45:00";4,1;"< BG";Geprueft
"2002-05-27 11:20:00";4,4;"< BG";Geprueft
"2002-06-10 10:50:00";4,1;0,011;Geprueft
"2002-06-24 10:35:00";4,9;0,021;Geprueft
"2002-07-08 10:45:00";4,3;0,007;Geprueft
"2002-07-22 10:55:00";3,6;0,006;Geprueft
"2002-08-05 10:50:00";3,6;0,01;Geprueft
"2002-08-19 11:05:00";2,9;"< BG";Geprueft
"2002-09-02 11:00:00";3,4;"< BG";Geprueft
"2002-09-16 10:55:00";4,00;"< BG";Geprueft
"2002-09-30 11:00:00";3,9;"< BG";Geprueft
"2002-10-14 11:15:00";3,7;0,007;Geprueft
"2002-10-28 11:10:00";4,3;"< BG";Geprueft
"2002-11-11 10:25:00";4,3;"< BG";Geprueft
"2002-11-25 11:00:00";4,3;0,005;Geprueft
"2002-12-09 11:15:00";5,8;0,006;Geprueft
"2002-12-17 11:05:00";5,8;0,009;Geprueft
"2003-01-07 11:40:00";4,9;0,005;Geprueft
"2003-01-20 11:00:00";5,8;0,009;Geprueft
"2003-02-04 11:05:00";6,2;0,008;Geprueft
"2003-02-17 22:03:00";6,2;0,007;Geprueft
"2003-03-03 10:35:00";5,8;0,008;Geprueft
"2003-03-17 10:35:00";5,3;"< BG";Geprueft
"2003-03-31 11:10:00";4,9;"< BG";Geprueft
"2003-04-14 11:20:00";4,9;"< BG";Geprueft
"2003-04-28 11:25:00";4,9;"< BG";Geprueft
"2003-05-12 11:40:00";4,9;"< BG";Geprueft
"2003-05-26 11:10:00";4,9;0,008;Geprueft
"2003-06-10 11:15:00";5,3;0,01;Geprueft
"2003-06-23 10:50:00";5,3;0,005;Geprueft
"2003-07-07 10:45:00";6,2;0,014;Geprueft
"2003-07-21 12:10:00";6,2;0,008;Geprueft
"2003-08-04 10:50:00";6,2;0,008;Geprueft
"2003-08-18 10:40:00";6,2;0,009;Geprueft
"2003-09-01 11:30:00";5,3;"< BG";Geprueft
"2003-09-15 11:00:00";4,4;"< BG";Geprueft
"2003-09-29 10:50:00";4,4;0,008;Geprueft
"2003-10-13 11:10:00";3,3;0,005;Geprueft
"2003-10-27 11:30:00";4,4;"< BG";Geprueft
"2003-11-10 10:50:00";4,9;"< BG";Geprueft
"2003-11-24 11:00:00";5,8;"< BG";Geprueft
"2003-12-09 10:50:00";5,8;"< BG";Geprueft
"2003-12-22 10:50:00";5,8;"< BG";Geprueft
"2004-01-07 11:00:00";6,2;0,007;Geprueft
"2004-01-19 10:40:00";5,8;0,006;Geprueft
"2004-02-02 11:15:00";6,2;0,009;Geprueft
"2004-02-16 11:00:00";5,8;0,008;Geprueft
"2004-03-01 11:35:00";5,8;"< BG";Geprueft
"2004-03-18 11:00:00";5,8;"< BG";Geprueft
"2004-03-29 10:55:00";4,4;"< BG";Geprueft
"2004-04-13 10:35:00";4,1;0,005;Geprueft
"2004-04-26 10:45:00";4,9;"< BG";Geprueft
"2004-05-10 10:45:00";3,5;"< BG";Geprueft
"2004-05-24 11:15:00";4,3;0,006;Geprueft
"2004-06-07 11:05:00";4,2;0,009;Geprueft
"2004-06-21 10:45:00";3,7;"< BG";Geprueft
"2004-07-05 10:35:00";4,4;"< BG";Geprueft
"2004-07-19 11:20:00";4,3;"< BG";Geprueft
"2004-08-03 10:55:00";4,3;"< BG";Geprueft
"2004-08-16 10:50:00";4,4;0,006;Geprueft
"2004-08-30 11:20:00";4,1;"< BG";Geprueft
"2004-09-13 11:45:00";4,4;"< BG";Geprueft
"2004-09-27 11:35:00";4,1;"< BG";Geprueft
"2004-10-11 11:20:00";3,4;"< BG";Geprueft
"2004-10-25 11:10:00";4,4;"< BG";Geprueft
"2004-11-08 11:30:00";5,3;0,01;Geprueft
"2004-11-22 11:05:00";5,8;0,006;Geprueft
"2004-12-06 11:00:00";4,9;0,007;Geprueft
"2004-12-20 11:45:00";5,8;0,009;Geprueft
"2005-01-10 11:20:00";4,9;0,01;Geprueft
"2005-01-17 10:45:00";5,8;0,01;Geprueft
"2005-01-31 11:30:00";6,6;0,011;Geprueft
"2005-02-14 11:10:00";7,1;0,016;Geprueft
"2005-02-28 11:30:00";5,3;0,006;Geprueft
"2005-03-14 10:45:00";5,3;"< BG";Geprueft
"2005-03-29 11:20:01";5,3;0,008;Geprueft
"2005-04-11 10:50:01";4,9;"< BG";Geprueft
"2005-04-25 11:15:01";4,4;"< BG";Geprueft
"2005-05-09 11:00:01";4,4;"< BG";Geprueft
"2005-05-30 11:15:01";4,9;"< BG";Geprueft
"2005-06-06 11:15:01";4,9;"< BG";Geprueft
"2005-06-20 11:10:01";4,9;"< BG";Geprueft
"2005-07-04 11:25:01";4,3;0,006;Geprueft
"2005-07-18 11:00:01";3,1;"< BG";Geprueft
"2005-08-01 11:10:01";4,4;"< BG";Geprueft
"2005-08-16 11:10:01";3,5;0,007;Geprueft
"2005-08-29 10:55:01";3,6;"< BG";Geprueft
"2005-09-12 11:15:01";3,5;"< BG";Geprueft
"2005-09-26 10:45:01";4,4;"< BG";Geprueft
"2005-10-10 10:50:01";3,7;"< BG";Geprueft
"2005-10-24 11:20:01";5,3;0,006;Geprueft
"2005-11-07 10:50:01";5,8;0,01;Geprueft
"2005-11-23 11:15:01";5,8;0,006;Geprueft
"2005-12-05 11:00:01";7,1;0,014;Geprueft
"2005-12-19 11:20:01";6,6;0,01;Geprueft
"2006-01-09 10:45:01";4,9;0,011;Geprueft
"2006-01-16 11:55:01";7,1;0,01;Geprueft
"2006-01-30 10:35:01";7,1;0,007;Geprueft
"2006-03-13 11:20:01";6,6;0,005;Geprueft
"2006-03-27 10:30:01";6,2;0,012;Geprueft
"2006-04-03 11:10:01";4,9;0,008;Geprueft
"2006-04-24 11:10:01";4,4;"< BG";Geprueft
"2006-05-08 11:00:01";4,4;"< BG";Geprueft
"2006-05-15 11:30:01";4,00;"< BG";Geprueft
"2006-06-06 11:45:01";3,6;"< BG";Geprueft
"2006-06-20 11:20:01";4,9;0,006;Geprueft
"2006-07-03 10:55:01";4,9;0,005;Geprueft
"2006-07-17 11:10:01";4,4;0,005;Geprueft
"2006-07-31 11:15:01";5,3;0,006;Geprueft
"2006-08-21 11:00:01";3,9;"< BG";Geprueft
"2006-08-28 11:00:01";4,1;0,005;Geprueft
"2006-09-11 11:20:01";4,4;0,008;Geprueft
"2006-09-25 11:45:01";4,9;0,006;Geprueft
"2006-10-09 11:20:01";4,9;0,006;Geprueft
"2006-10-23 11:30:01";6,2;0,007;Geprueft
"2006-11-06 11:15:01";5,8;0,014;Geprueft
"2006-11-20 10:50:01";3,1;0,006;Geprueft
"2006-12-04 10:55:01";4,9;0,007;Geprueft
