Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:09"
Zeitbezug:;MEZ
Messstellen-Name:;"Brücke B20"
Messstellen-Nr.:;12858
Gewässer:;Alzkanal
Ostwert:;784153;Nordwert:;5344322;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2009-01-07 10:41:00";;0,009;Geprueft
"2009-01-12 11:00:00";;0,009;Geprueft
"2009-01-26 11:15:00";;0,008;Geprueft
"2009-02-09 11:35:00";;0,008;Geprueft
"2009-02-23 11:10:00";;0,007;Geprueft
"2009-03-10 09:38:00";;0,012;Geprueft
"2009-03-23 10:50:00";;"< BG";Geprueft
"2009-04-06 10:59:00";;"< BG";Geprueft
"2009-04-20 10:35:00";;"< BG";Geprueft
"2009-05-04 11:30:00";;"< BG";Geprueft
"2009-05-18 11:15:00";;"< BG";Geprueft
"2009-06-02 10:45:00";;0,005;Geprueft
"2009-06-15 10:35:00";;"< BG";Geprueft
"2009-06-29 10:20:00";;0,005;Geprueft
"2009-07-13 10:55:00";;"< BG";Geprueft
"2009-07-27 09:50:00";;"< BG";Geprueft
"2009-08-10 11:30:00";;"< BG";Geprueft
"2009-08-25 10:53:00";;"< BG";Geprueft
"2009-09-07 11:30:00";;"< BG";Geprueft
"2009-09-21 11:20:00";;"< BG";Geprueft
"2009-10-05 12:00:00";;"< BG";Geprueft
"2009-10-19 11:30:00";;0,006;Geprueft
"2009-11-03 10:07:00";;0,011;Geprueft
"2009-11-16 11:15:00";;0,005;Geprueft
"2009-11-30 10:45:00";;"< BG";Geprueft
"2009-12-14 10:55:00";;0,007;Geprueft
"2020-01-20 11:15:00";4,4;0,006;Geprueft
"2020-02-17 11:50:00";4,1;"< BG";Geprueft
"2020-03-16 11:15:00";4,00;"< BG";Geprueft
"2020-04-20 12:05:00";4,1;"< BG";Geprueft
"2020-05-11 11:20:00";4,00;"< BG";Geprueft
"2020-06-15 12:45:00";3,9;"< BG";Geprueft
"2020-07-13 11:00:00";3,3;"< BG";Geprueft
"2020-08-10 11:05:00";3,00;"< BG";Geprueft
"2020-09-07 12:15:00";3,6;"< BG";Geprueft
"2020-10-05 11:45:00";3,5;"< BG";Geprueft
"2020-11-02 10:40:00";4,00;"< BG";Geprueft
"2020-11-30 10:05:00";4,5;"< BG";Geprueft
"2021-01-18 09:50:00";5,2;"< BG";Geprueft
"2021-02-22 11:15:00";4,00;"< BG";Geprueft
"2021-03-22 11:00:00";4,1;"< BG";Geprueft
"2021-04-26 11:15:00";4,1;"< BG";Geprueft
"2021-05-17 11:15:00";3,7;"< BG";Geprueft
"2021-06-21 10:05:00";3,6;"< BG";Geprueft
"2021-07-19 10:30:00";2,7;"< BG";Geprueft
"2021-08-16 10:30:00";3,4;"< BG";Geprueft
"2021-09-13 10:10:00";3,2;"< BG";Geprueft
"2021-10-11 10:30:00";3,8;"< BG";Geprueft
"2021-11-08 11:25:00";4,1;"< BG";Geprueft
"2021-12-06 10:20:00";4,4;0,006;Geprueft
