Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:32"
Zeitbezug:;MEZ
Messstellen-Name:;"Haiming, Fkm 4"
Messstellen-Nr.:;12859
Gewässer:;Salzach
Ostwert:;789053;Nordwert:;5346325;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2020-01-27 11:50:00";3,5;0,008;Geprueft
"2020-02-24 11:05:00";4,3;0,012;Geprueft
"2020-05-19 11:15:00";2,2;0,006;Geprueft
"2020-06-15 11:00:00";1,9;"< BG";Geprueft
"2020-06-30 10:50:00";2,6;0,011;Geprueft
"2020-07-21 11:15:00";2,00;0,007;Geprueft
"2020-08-11 11:00:00";2,8;0,009;Geprueft
"2020-09-21 10:50:00";3,2;0,011;Geprueft
"2020-10-19 11:25:00";2,8;0,01;Geprueft
"2020-11-16 12:00:00";3,5;0,01;Geprueft
