Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 15:32"
Zeitbezug:;MEZ
Messstellen-Name:;"SIMBACH BRUECKE"
Messstellen-Nr.:;12872
Gewässer:;Inn
Ostwert:;799376;Nordwert:;5353177;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"1982-01-07 09:00:00";7,1;0,14;Geprueft
"1982-01-20 15:25:00";7,1;0,12;Geprueft
"1982-02-03 08:30:00";8,4;0,08;Geprueft
"1982-02-17 14:30:00";6,6;0,1;Geprueft
"1982-03-03 08:45:00";6,2;0,06;Geprueft
"1982-03-17 14:20:00";5,3;0,09;Geprueft
"1982-03-31 09:45:00";3,8;0,05;Geprueft
"1982-04-14 15:15:00";3,1;0,09;Geprueft
"1982-04-28 11:30:00";4,2;0,05;Geprueft
"1982-05-12 16:05:00";3,1;0,04;Geprueft
"1982-05-26 10:00:00";2,7;0,07;Geprueft
"1982-06-09 14:20:00";2,7;0,04;Geprueft
"1982-06-23 08:45:00";3,1;0,05;Geprueft
"1982-07-07 14:15:00";2,9;0,05;Geprueft
"1982-07-21 09:45:00";3,1;0,1;Geprueft
"1982-08-04 14:45:00";3,5;0,05;Geprueft
"1982-08-18 10:00:00";3,1;0,06;Geprueft
"1982-09-01 14:50:00";3,9;0,11;Geprueft
"1982-09-15 09:05:00";5,3;0,06;Geprueft
"1982-09-29 15:10:00";4,9;0,07;Geprueft
"1982-10-13 07:50:00";5,3;0,1;Geprueft
"1982-10-27 15:40:00";5,3;0,09;Geprueft
"1982-11-10 13:35:00";6,2;0,07;Geprueft
"1982-11-24 13:30:00";6,2;0,1;Geprueft
"1982-12-08 12:00:00";5,3;0,11;Geprueft
"1982-12-22 13:05:00";9,7;0,1;Geprueft
"1983-01-05 10:05:00";8,9;0,11;Geprueft
"1983-01-19 14:20:00";3,1;0,09;Geprueft
"1983-02-02 10:10:00";6,6;0,07;Geprueft
"1983-02-16 15:55:00";7,1;0,08;Geprueft
"1983-03-02 11:00:00";8,00;0,12;Geprueft
"1983-03-16 14:30:00";6,6;0,06;Geprueft
"1983-03-30 10:50:00";6,6;0,04;Geprueft
"1983-04-13 15:30:00";5,3;0,04;Geprueft
"1983-04-27 11:00:00";3,3;0,03;Geprueft
"1983-05-11 13:15:00";2,9;0,05;Geprueft
"1983-05-25 10:25:00";2,7;0,03;Geprueft
"1983-06-08 14:55:00";2,2;0,03;Geprueft
"1983-06-22 10:05:00";3,5;0,03;Geprueft
"1983-07-06 14:40:00";1,6;0,04;Geprueft
"1983-07-20 09:40:00";2,00;0,06;Geprueft
"1983-08-03 16:10:00";2,7;0,06;Geprueft
"1983-08-17 08:50:00";1,8;0,05;Geprueft
"1983-08-31 15:15:00";2,2;0,08;Geprueft
"1983-09-14 10:30:00";3,5;0,04;Geprueft
"1983-09-28 14:20:00";4,9;0,07;Geprueft
"1983-10-12 07:55:00";3,5;0,06;Geprueft
"1983-10-26 14:20:00";4,00;0,07;Geprueft
"1983-11-09 10:45:00";2,2;0,07;Geprueft
"1983-11-23 14:40:00";4,9;0,06;Geprueft
"1983-12-07 10:30:00";6,2;0,06;Geprueft
"1983-12-21 14:20:00";4,9;0,1;Geprueft
"1984-01-04 10:45:00";5,8;0,03;Geprueft
