Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 15:50"
Zeitbezug:;MEZ
Messstellen-Name:;"u.h. Steghub, Bruecke"
Messstellen-Nr.:;12876
Gewässer:;"Kirchberger Bach"
Ostwert:;797754;Nordwert:;5355322;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2011-02-09 00:00:00";;0,021;Geprueft
"2011-03-09 00:01:00";;0,015;Geprueft
"2011-04-18 00:01:00";;0,016;Geprueft
"2011-05-31 00:01:00";;0,038;Geprueft
"2011-06-28 00:01:00";;0,03;Geprueft
"2011-07-27 00:01:00";;0,031;Geprueft
"2011-08-31 00:01:00";;0,026;Geprueft
"2011-09-29 00:00:00";;0,022;Geprueft
"2011-10-26 00:00:00";;0,019;Geprueft
"2011-11-16 00:00:00";;0,017;Geprueft
"2014-01-29 00:00:00";13,00;0,024;Geprueft
"2014-02-26 00:01:00";13,00;0,028;Geprueft
"2014-03-18 00:00:00";12,00;0,022;Geprueft
"2014-04-29 00:00:00";11,00;0,024;Geprueft
"2014-07-31 00:00:00";13,00;0,064;Geprueft
"2014-08-25 00:00:00";11,00;0,026;Geprueft
"2014-09-22 00:00:00";8,4;0,043;Geprueft
"2014-10-29 00:00:00";11,00;0,024;Geprueft
"2014-11-17 00:00:00";11,00;0,024;Geprueft
"2014-12-09 00:00:00";8,00;0,029;Geprueft
"2016-01-25 00:00:00";13,00;0,022;Geprueft
"2016-02-17 00:00:00";13,00;0,03;Geprueft
"2016-03-15 00:00:00";12,00;0,02;Geprueft
"2016-04-19 00:00:00";9,7;0,026;Geprueft
"2016-05-30 00:00:00";10,00;0,04;Geprueft
"2016-06-29 00:00:00";5,3;0,017;Geprueft
"2016-08-02 00:00:00";6,2;0,014;Geprueft
"2016-09-06 12:45:00";6,2;0,02;Geprueft
"2016-10-04 10:30:00";8,00;0,009;Geprueft
"2016-10-25 11:15:00";6,6;0,012;Geprueft
"2016-11-23 10:40:00";8,4;0,016;Geprueft
"2016-12-07 10:20:00";11,00;0,016;Geprueft
"2017-01-24 11:20:00";12,00;0,005;Geprueft
"2017-02-21 11:40:00";18,00;0,033;Geprueft
"2017-03-22 12:00:00";9,7;0,019;Geprueft
"2017-04-11 00:00:00";9,5;0,009;Geprueft
"2017-05-03 10:30:00";12,00;0,017;Geprueft
"2017-06-28 08:15:00";8,00;0,016;Geprueft
"2017-07-10 12:40:00";7,9;0,011;Geprueft
"2017-08-21 00:00:00";7,6;0,016;Geprueft
"2017-09-04 12:15:00";8,1;0,017;Geprueft
"2017-10-23 09:15:00";8,2;0,007;Geprueft
"2017-12-06 12:55:00";13,00;0,014;Geprueft
"2017-12-13 13:10:00";13,00;0,019;Geprueft
"2018-01-09 11:55:00";13,00;0,017;Geprueft
"2018-02-20 09:55:00";12,00;0,009;Geprueft
"2018-03-12 09:35:00";11,00;0,014;Geprueft
"2018-04-10 12:40:00";10,00;"< BG";Geprueft
"2018-05-08 00:00:00";9,1;0,014;Geprueft
"2018-06-11 12:00:00";8,3;0,017;Geprueft
"2018-07-04 12:00:00";8,2;0,016;Geprueft
"2018-08-22 12:15:00";7,5;0,013;Geprueft
"2018-10-10 12:15:00";8,7;0,009;Geprueft
"2018-10-29 12:45:00";11,00;0,014;Geprueft
"2018-11-07 12:45:00";9,00;0,008;Geprueft
"2018-11-27 13:00:00";13,00;0,021;Geprueft
"2019-01-16 00:00:00";19,00;0,023;Geprueft
"2019-02-13 09:05:00";17,00;0,017;Geprueft
"2019-03-11 12:05:00";14,00;0,02;Geprueft
"2019-04-09 00:00:00";10,00;0,012;Geprueft
"2019-05-06 12:15:00";9,00;0,012;Geprueft
"2019-07-02 12:30:00";9,6;0,02;Geprueft
"2019-07-31 11:35:00";8,00;0,014;Geprueft
"2019-08-26 11:05:00";7,6;0,011;Geprueft
"2019-10-23 13:15:00";9,3;"< BG";Geprueft
"2019-11-20 09:40:00";11,00;0,011;Geprueft
