Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:09"
Zeitbezug:;MEZ
Messstellen-Name:;"Bruecke Aurolfing"
Messstellen-Nr.:;12988
Gewässer:;Bina
Ostwert:;764533;Nordwert:;5370231;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2010-03-16 00:00:00";;0,17;Geprueft
"2010-04-14 00:00:00";;0,27;Geprueft
"2010-06-16 00:01:00";;0,16;Geprueft
"2010-07-07 00:01:00";;0,26;Geprueft
"2010-09-01 00:01:00";;0,23;Geprueft
"2010-09-27 00:01:00";;0,019;Geprueft
"2010-10-20 00:01:00";;0,2;Geprueft
"2010-11-24 00:00:00";;0,27;Geprueft
"2015-01-28 14:45:00";29,00;0,073;Geprueft
"2015-02-24 00:00:00";24,00;0,17;Geprueft
"2015-03-18 00:00:00";24,00;0,061;Geprueft
"2015-04-15 00:00:00";24,00;0,13;Geprueft
"2015-05-27 00:00:00";39,00;0,17;Geprueft
"2015-06-23 00:00:00";27,00;0,17;Geprueft
"2015-07-21 00:00:00";26,00;0,21;Geprueft
"2015-08-12 00:00:00";22,00;0,16;Geprueft
"2015-09-15 00:00:00";28,00;0,17;Geprueft
"2015-10-26 00:00:00";28,00;0,17;Geprueft
"2015-12-07 00:00:00";31,00;0,14;Geprueft
"2018-01-30 10:20:00";26,00;0,094;Geprueft
"2018-02-27 09:05:00";31,00;0,028;Geprueft
"2018-03-19 11:55:00";25,00;0,034;Geprueft
"2018-04-24 07:55:00";19,00;0,257;Geprueft
"2018-05-23 11:05:00";19,00;0,12;Geprueft
"2018-06-14 10:40:00";21,00;0,195;Geprueft
"2018-07-24 09:30:00";22,00;0,175;Geprueft
"2018-09-03 11:35:00";22,00;0,14;Geprueft
"2018-09-17 14:30:00";24,00;0,278;Geprueft
"2018-10-09 10:00:00";27,00;0,085;Geprueft
"2018-11-12 10:00:00";27,00;0,137;Geprueft
"2018-11-28 14:30:00";27,00;0,19;Geprueft
"2018-12-18 08:05:00";32,00;0,071;Geprueft
