Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:09"
Zeitbezug:;MEZ
Messstellen-Name:;"Bruecke Geratsdorf"
Messstellen-Nr.:;12995
Gewässer:;Bina
Ostwert:;766924;Nordwert:;5368488;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2015-01-28 14:00:00";27,00;0,11;Geprueft
"2015-02-11 00:00:00";30,00;0,101;Geprueft
"2015-03-11 00:00:00";28,00;0,063;Geprueft
"2015-04-14 00:00:00";26,00;0,075;Geprueft
"2015-05-07 00:00:00";62,00;0,2;Geprueft
"2015-05-20 00:00:00";31,00;0,37;Geprueft
"2015-06-10 00:00:00";41,00;0,246;Geprueft
"2015-07-08 00:00:00";23,00;0,38;Geprueft
"2015-08-03 00:00:00";24,00;0,15;Geprueft
"2015-09-03 13:45:00";23,00;0,429;Geprueft
"2015-09-30 00:00:00";29,00;0,13;Geprueft
"2015-10-28 00:00:00";29,00;0,257;Geprueft
"2015-11-24 00:00:00";30,00;0,23;Geprueft
"2015-12-15 00:00:00";31,00;0,1;Geprueft
"2016-01-12 00:00:00";35,00;0,14;Geprueft
"2016-03-15 00:00:00";30,00;0,05;Geprueft
"2016-04-06 11:30:00";23,00;0,12;Geprueft
"2016-05-02 00:00:00";24,00;0,073;Geprueft
"2016-05-17 00:00:00";26,00;0,18;Geprueft
"2016-05-30 00:00:00";24,00;0,176;Geprueft
"2016-06-13 00:00:00";27,00;0,12;Geprueft
"2016-06-27 00:00:00";16,00;0,358;Geprueft
"2016-08-01 00:00:00";18,00;0,25;Geprueft
"2016-08-29 10:00:00";23,00;0,188;Geprueft
"2016-09-27 00:00:00";28,00;0,18;Geprueft
"2016-10-25 09:00:00";26,00;0,162;Geprueft
"2018-01-30 10:00:00";27,00;0,057;Geprueft
"2018-02-20 08:30:00";25,00;0,033;Geprueft
"2018-03-14 09:10:00";26,00;0,054;Geprueft
"2018-04-18 00:00:00";23,00;0,041;Geprueft
"2018-05-16 00:00:00";18,00;0,12;Geprueft
"2018-06-14 09:55:00";19,00;0,23;Geprueft
"2018-07-10 08:10:00";;0,14;Geprueft
"2018-08-20 00:00:00";15,00;0,08;Geprueft
"2018-09-17 14:00:00";22,00;0,19;Geprueft
"2018-10-17 00:00:00";23,00;0,166;Geprueft
"2018-11-12 09:35:00";27,00;0,141;Geprueft
"2018-12-12 14:30:00";23,00;0,081;Geprueft
"2020-01-13 09:15:00";32,00;0,088;Geprueft
"2020-02-12 10:00:00";29,00;0,09;Geprueft
"2020-03-17 00:00:00";28,00;0,054;Geprueft
"2020-04-07 09:05:00";24,00;0,027;Geprueft
"2020-05-27 10:00:00";15,00;0,086;Geprueft
"2020-06-22 12:45:00";30,00;0,11;Geprueft
"2020-07-15 08:35:00";16,00;0,126;Geprueft
"2020-08-17 00:00:00";14,00;0,19;Geprueft
"2020-09-15 08:50:00";20,00;0,169;Geprueft
"2020-10-12 09:30:00";18,00;0,11;Geprueft
"2020-11-12 08:00:00";24,00;0,14;Geprueft
"2020-12-02 00:00:00";30,00;0,2;Geprueft
