Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:39"
Zeitbezug:;MEZ
Messstellen-Name:;"Kirchberg Br."
Messstellen-Nr.:;13027
Gewässer:;Mertseebach
Ostwert:;776142;Nordwert:;5369585;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2018-01-22 10:55:00";30,00;;Geprueft
"2018-02-27 09:55:00";37,00;;Geprueft
"2018-03-14 10:50:00";31,00;;Geprueft
"2018-04-24 08:55:00";28,00;;Geprueft
"2018-05-23 08:20:00";34,00;;Geprueft
"2018-06-14 08:15:00";28,00;;Geprueft
"2018-07-24 08:35:00";34,00;;Geprueft
"2018-09-03 13:45:00";31,00;;Geprueft
"2018-09-17 13:15:00";37,00;;Geprueft
"2018-10-09 09:10:00";33,00;;Geprueft
"2018-11-12 08:15:00";34,00;;Geprueft
"2018-11-28 13:45:00";32,00;;Geprueft
"2018-12-03 14:00:00";27,00;;Geprueft
"2018-12-18 08:40:00";35,00;;Geprueft
"2019-01-14 09:30:00";33,00;;Geprueft
"2019-02-18 10:15:00";42,00;;Geprueft
"2019-03-20 09:20:00";31,00;;Geprueft
"2019-05-15 09:25:00";30,00;;Geprueft
"2019-05-22 13:40:00";150,00;;Geprueft
"2019-07-08 09:30:00";29,00;;Geprueft
"2019-07-15 08:45:00";24,00;;Geprueft
"2019-08-13 00:00:00";17,00;;Geprueft
"2019-10-30 08:15:00";30,00;;Geprueft
"2019-11-21 09:10:00";37,00;;Geprueft
"2020-01-13 10:00:00";36,00;0,071;Geprueft
"2020-02-12 11:00:00";48,00;0,038;Geprueft
"2020-03-05 08:40:00";37,00;0,032;Geprueft
"2020-04-14 00:00:00";31,00;0,03;Geprueft
"2020-05-18 00:00:00";35,00;0,056;Geprueft
"2020-06-24 07:40:00";50,00;0,053;Geprueft
"2020-07-08 00:00:00";32,00;0,063;Geprueft
"2020-08-19 00:00:00";19,00;0,26;Geprueft
"2020-09-09 10:25:00";30,00;0,073;Geprueft
"2020-11-16 08:00:00";30,00;0,051;Geprueft
"2020-12-09 00:00:00";33,00;0,059;Geprueft
"2021-01-26 09:20:00";29,00;0,035;Geprueft
"2021-02-15 09:20:00";36,00;0,036;Geprueft
"2021-03-16 10:25:00";33,00;0,053;Geprueft
"2021-04-14 11:40:00";25,00;0,09;Geprueft
"2021-05-10 08:30:00";28,00;0,044;Geprueft
"2021-06-02 07:05:00";35,00;0,049;Geprueft
"2021-07-28 10:30:00";27,00;0,11;Geprueft
"2021-08-30 10:45:00";11,00;0,19;Geprueft
"2021-09-28 08:25:00";23,00;0,18;Geprueft
"2021-10-20 09:45:00";32,00;0,078;Geprueft
"2021-11-11 08:35:00";29,00;0,053;Geprueft
