Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 15:26"
Zeitbezug:;MEZ
Messstellen-Name:;"Postmuenster, Bruecke"
Messstellen-Nr.:;13104
Gewässer:;Rott
Ostwert:;788892;Nordwert:;5370389;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2010-03-16 00:00:00";;0,05;Geprueft
"2010-04-07 00:00:00";;"< BG";Geprueft
"2010-04-19 00:00:00";;"< BG";Geprueft
"2010-05-05 00:01:00";;0,033;Geprueft
"2010-05-19 00:01:00";;0,021;Geprueft
"2010-06-16 00:01:00";;0,12;Geprueft
"2010-06-30 00:01:00";;"< BG";Geprueft
"2010-07-13 00:01:00";;0,015;Geprueft
"2010-07-28 00:00:00";;0,17;Geprueft
"2010-08-11 10:00:00";;0,12;Geprueft
"2010-08-25 00:01:00";;0,033;Geprueft
"2010-09-08 08:30:00";;0,064;Geprueft
"2010-09-21 00:01:00";;0,029;Geprueft
"2010-10-05 10:00:00";;0,015;Geprueft
"2010-10-19 00:01:00";;"< BG";Geprueft
"2010-11-02 00:00:00";;0,036;Geprueft
"2010-11-16 00:01:00";;0,086;Geprueft
"2010-12-01 00:00:00";;0,086;Geprueft
"2010-12-15 00:00:00";;0,18;Geprueft
"2014-01-29 00:00:00";26,00;0,074;Geprueft
"2014-02-26 00:01:00";24,00;0,024;Geprueft
"2014-03-18 00:00:00";18,00;0,007;Geprueft
"2014-04-29 00:00:00";9,3;0,005;Geprueft
"2014-07-31 00:00:00";4,9;0,11;Geprueft
"2014-08-25 00:00:00";12,00;0,052;Geprueft
"2014-09-22 00:00:00";17,00;0,11;Geprueft
"2014-10-29 00:00:00";23,00;0,1;Geprueft
"2014-11-17 00:00:00";21,00;0,13;Geprueft
"2014-12-09 00:00:00";22,00;0,086;Geprueft
"2015-04-14 00:00:00";16,00;"< BG";Geprueft
"2015-05-20 00:00:00";16,00;0,024;Geprueft
"2015-06-10 00:00:00";21,00;0,18;Geprueft
"2015-07-08 00:00:00";6,6;0,23;Geprueft
"2015-08-03 00:00:00";5,8;0,089;Geprueft
"2015-09-03 12:30:00";5,8;0,094;Geprueft
"2015-09-30 00:00:00";12,00;0,007;Geprueft
"2015-10-28 00:00:00";13,00;"< BG";Geprueft
"2016-01-25 00:00:00";27,00;0,069;Geprueft
"2016-02-10 00:00:00";28,00;0,059;Geprueft
"2016-03-15 00:00:00";24,00;0,04;Geprueft
"2016-04-06 09:45:00";13,00;"< BG";Geprueft
"2016-05-10 00:00:00";7,1;"< BG";Geprueft
