Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 13:29"
Zeitbezug:;MEZ
Messstellen-Name:;"0,5 km uh. Br.Bergh.Str., Mutterbett"
Messstellen-Nr.:;2272
Gewässer:;Ostrach
Ostwert:;596994;Nordwert:;5263693;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2014-01-13 10:50:00";1,8;"< BG";Geprueft
"2014-02-11 13:25:00";1,9;"< BG";Geprueft
"2014-03-10 09:30:00";2,2;"< BG";Geprueft
"2014-04-09 12:40:00";1,8;"< BG";Geprueft
"2014-05-05 09:30:00";1,9;"< BG";Geprueft
"2014-06-02 09:30:00";1,6;"< BG";Geprueft
"2014-07-09 13:45:00";1,1;"< BG";Geprueft
"2014-07-30 09:30:00";1,2;"< BG";Geprueft
"2014-08-25 13:30:00";1,5;"< BG";Geprueft
"2014-09-15 09:00:00";1,5;"< BG";Geprueft
"2014-10-20 12:25:00";1,6;"< BG";Geprueft
"2014-11-17 08:20:00";1,6;"< BG";Geprueft
"2020-01-09 09:30:00";1,9;"< BG";Geprueft
"2020-02-13 10:00:00";2,1;"< BG";Geprueft
"2020-03-10 09:50:00";2,2;"< BG";Geprueft
"2020-04-08 09:30:00";1,5;"< BG";Geprueft
"2020-05-07 10:00:00";1,3;"< BG";Geprueft
"2020-06-16 09:45:00";1,1;"< BG";Geprueft
"2020-07-06 11:40:00";1,4;"< BG";Geprueft
"2020-08-05 09:40:00";1,3;"< BG";Geprueft
"2020-09-14 10:15:00";1,7;"< BG";Geprueft
"2020-10-05 10:45:00";1,5;"< BG";Geprueft
"2020-11-02 10:00:00";1,5;"< BG";Geprueft
"2020-12-09 10:30:00";1,9;"< BG";Geprueft
