Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:39"
Zeitbezug:;MEZ
Messstellen-Name:;"Kempten Pegel"
Messstellen-Nr.:;2290
Gewässer:;Iller
Ostwert:;598753;Nordwert:;5287207;"ETRS89 / UTM Zone 32N"

Datum;"o-PO4-P [mg/l] ( m Tiefe)";"NO3 [mg/l] ( m Tiefe)";Prüfstatus
"1982-01-07 09:45:00";0,05;;Geprueft
"1982-01-20 10:00:00";0,03;;Geprueft
"1982-02-02 13:10:00";0,047;;Geprueft
"1982-02-17 08:30:00";0,033;;Geprueft
"1982-03-08 08:00:00";0,068;;Geprueft
"1982-03-24 09:00:00";0,005;;Geprueft
"1982-03-30 14:55:00";0,052;;Geprueft
"1982-04-14 11:15:00";0,032;;Geprueft
"1982-04-28 14:10:00";0,049;;Geprueft
"1982-05-12 10:45:00";0,04;;Geprueft
"1982-05-26 11:05:00";0,007;;Geprueft
"1982-06-08 11:45:00";0,02;;Geprueft
"1982-06-23 09:00:00";0,043;;Geprueft
"1982-07-07 13:45:00";0,027;;Geprueft
"1982-07-22 09:00:00";0,127;;Geprueft
"1982-08-04 13:35:00";0,036;;Geprueft
"1982-08-18 10:00:00";0,024;;Geprueft
"1982-09-01 14:55:00";0,054;;Geprueft
"1982-09-16 09:20:00";0,128;;Geprueft
"1982-09-29 08:15:00";0,099;;Geprueft
"1982-10-13 08:15:00";0,073;;Geprueft
"1982-10-28 10:00:00";0,059;;Geprueft
"1982-11-10 12:00:00";0,143;;Geprueft
"1982-11-25 08:30:00";0,075;;Geprueft
"1982-12-08 12:10:00";0,113;;Geprueft
"1982-12-20 13:15:00";0,049;;Geprueft
"1983-01-04 09:00:00";0,148;;Geprueft
"1983-01-19 14:00:00";0,048;;Geprueft
"1983-02-02 09:40:00";0,041;;Geprueft
"1983-02-16 14:15:00";0,081;;Geprueft
"1983-03-02 11:30:00";0,061;;Geprueft
"1983-03-16 10:30:00";0,044;;Geprueft
"1983-03-30 12:45:00";0,09;;Geprueft
"1983-04-13 14:15:00";0,065;;Geprueft
"1983-04-26 08:15:00";0,028;;Geprueft
"1983-05-11 10:30:00";0,067;;Geprueft
"1983-05-25 15:40:00";0,041;;Geprueft
"1983-06-08 12:55:00";0,04;;Geprueft
"1983-06-22 08:25:00";0,053;;Geprueft
"1983-07-04 14:00:00";0,053;;Geprueft
"1983-07-20 11:40:00";0,085;;Geprueft
"1983-08-03 10:20:00";0,069;;Geprueft
"1983-08-17 16:40:00";0,061;;Geprueft
"1983-08-31 13:30:00";0,145;;Geprueft
"1983-09-14 10:10:00";0,037;;Geprueft
"1983-09-28 13:45:00";0,117;;Geprueft
"1983-10-12 14:00:00";0,062;;Geprueft
"1983-10-26 13:30:00";0,134;;Geprueft
"1983-11-09 13:40:00";0,111;;Geprueft
"1983-11-23 16:15:00";0,173;;Geprueft
"1983-12-07 13:00:00";0,091;;Geprueft
"1983-12-21 13:45:00";0,185;;Geprueft
"1984-01-04 13:10:00";0,083;;Geprueft
"1984-01-10 13:15:00";0,098;;Geprueft
"1984-01-24 14:15:00";0,083;;Geprueft
"1984-02-07 09:45:00";0,1;;Geprueft
"1984-02-21 12:45:00";0,139;;Geprueft
"1984-03-06 08:30:00";0,093;;Geprueft
"1984-03-20 08:45:00";0,105;;Geprueft
"1984-04-03 08:45:00";0,054;;Geprueft
"1984-04-17 10:30:00";0,05;;Geprueft
"1984-04-30 07:40:00";0,033;;Geprueft
"1984-05-15 13:50:00";0,051;;Geprueft
"1984-05-29 08:00:00";0,054;;Geprueft
"1984-06-14 09:30:00";0,043;;Geprueft
"1984-06-26 09:45:00";0,097;;Geprueft
"1984-07-10 07:45:00";0,057;;Geprueft
"1984-07-24 08:00:00";0,076;;Geprueft
"1984-08-07 09:55:00";0,092;;Geprueft
"1984-08-22 08:00:00";0,087;;Geprueft
"1984-09-03 14:00:00";0,071;;Geprueft
"1984-09-20 15:00:00";0,031;;Geprueft
"1984-10-02 15:45:00";0,047;;Geprueft
"1984-10-16 13:45:00";0,084;;Geprueft
"1984-10-30 13:35:00";0,136;;Geprueft
"1984-11-13 16:00:00";0,15;;Geprueft
"1984-11-27 09:20:00";0,136;;Geprueft
"1984-12-11 08:00:00";0,117;;Geprueft
"1985-01-16 11:30:00";0,189;;Geprueft
"1985-01-30 10:25:00";0,135;;Geprueft
"1985-02-13 12:55:00";0,077;;Geprueft
"1985-02-27 14:30:00";0,118;;Geprueft
"1985-03-13 09:20:00";0,162;;Geprueft
"1985-03-27 14:30:00";0,023;;Geprueft
"1985-04-10 07:50:00";0,033;;Geprueft
"1985-04-24 16:45:00";0,009;;Geprueft
"1985-05-08 12:15:00";0,014;;Geprueft
"1985-05-22 14:20:00";0,021;;Geprueft
"1985-06-07 12:45:00";0,03;;Geprueft
"1985-06-19 14:15:00";0,042;;Geprueft
"1985-07-03 11:10:00";0,041;;Geprueft
"1985-07-17 08:10:00";0,114;;Geprueft
"1985-07-31 07:30:00";0,045;;Geprueft
"1985-08-14 15:40:00";0,018;;Geprueft
"1985-08-28 11:30:00";0,042;;Geprueft
"1985-09-11 10:00:00";0,049;;Geprueft
"1985-09-25 10:30:00";0,083;;Geprueft
"1985-10-09 15:35:00";0,138;;Geprueft
"1985-10-23 15:00:00";0,059;;Geprueft
"1985-11-06 14:00:00";0,205;;Geprueft
"1985-11-22 14:00:00";0,125;;Geprueft
"1985-12-05 08:00:00";0,058;;Geprueft
"1985-12-18 09:05:00";0,099;;Geprueft
"1986-01-02 09:45:00";0,099;;Geprueft
"1986-01-15 11:25:00";0,07;;Geprueft
"1986-01-29 14:45:00";0,065;;Geprueft
"1986-02-12 14:50:00";0,148;;Geprueft
"1986-02-26 11:40:00";0,14;;Geprueft
"1986-03-12 11:45:00";0,182;;Geprueft
"1986-03-26 14:30:00";0,038;;Geprueft
"1986-04-09 15:00:00";0,033;;Geprueft
"1986-04-22 08:30:00";0,026;;Geprueft
"1986-05-12 13:00:00";0,023;;Geprueft
"1986-05-21 15:50:00";0,018;;Geprueft
"1986-06-06 08:00:00";0,025;;Geprueft
"1986-06-18 10:45:00";0,058;;Geprueft
"1986-07-01 15:25:00";0,062;;Geprueft
"1986-07-16 15:25:00";0,058;;Geprueft
"1986-07-31 08:10:00";0,062;;Geprueft
"1986-08-13 10:30:00";0,042;;Geprueft
"1986-08-27 15:20:00";0,056;;Geprueft
"1986-09-10 11:15:00";0,081;;Geprueft
"1986-09-24 14:35:00";0,091;;Geprueft
"1986-10-08 16:40:00";0,145;;Geprueft
"1986-10-22 15:30:00";0,051;;Geprueft
"1986-11-05 13:45:00";0,065;;Geprueft
"1986-11-20 12:30:00";0,084;;Geprueft
"1986-12-04 09:55:00";0,096;;Geprueft
"1986-12-17 13:15:00";0,213;;Geprueft
"1987-01-02 10:05:00";0,078;;Geprueft
"1987-01-14 10:50:00";0,062;;Geprueft
"1987-01-28 15:50:00";0,104;;Geprueft
"1987-02-11 13:45:00";0,05;;Geprueft
"1987-02-25 12:45:00";0,062;;Geprueft
"1987-03-12 13:10:00";0,044;;Geprueft
"1987-03-27 11:45:00";0,046;;Geprueft
"1987-04-08 13:15:00";0,029;;Geprueft
"1987-04-22 09:30:00";0,02;;Geprueft
