Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 15:56"
Zeitbezug:;MEZ
Messstellen-Name:;"Uh. Landesgrenze"
Messstellen-Nr.:;2294
Gewässer:;Lautrach
Ostwert:;582148;Nordwert:;5300092;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2014-01-29 10:31:00";8,00;0,026;Geprueft
"2014-02-26 13:10:00";7,5;0,026;Geprueft
"2014-03-24 09:40:00";8,00;0,039;Geprueft
"2014-04-24 11:30:00";7,5;0,013;Geprueft
"2014-05-15 13:15:00";5,8;0,037;Geprueft
"2014-06-11 09:10:00";9,3;0,026;Geprueft
"2014-07-22 12:10:00";3,1;0,2;Geprueft
"2014-08-13 09:30:00";8,4;0,03;Geprueft
"2014-09-10 11:50:00";8,9;0,024;Geprueft
"2014-10-13 09:30:00";8,4;0,018;Geprueft
"2014-11-05 11:30:00";8,9;0,026;Geprueft
"2014-12-08 10:30:00";8,00;0,027;Geprueft
"2019-01-28 09:20:00";8,00;0,017;Geprueft
"2019-02-25 09:15:00";7,8;0,012;Geprueft
"2019-03-20 08:50:00";7,7;0,02;Geprueft
"2019-04-17 09:25:00";8,6;0,01;Geprueft
"2019-05-14 09:20:00";6,9;0,017;Geprueft
"2019-06-12 09:00:00";6,6;0,025;Geprueft
"2019-07-15 09:10:00";8,9;0,022;Geprueft
"2019-08-12 09:05:00";7,6;0,027;Geprueft
"2019-09-23 09:39:00";7,4;0,034;Geprueft
"2019-10-07 09:10:00";4,3;0,065;Geprueft
"2019-11-11 09:00:00";7,5;0,018;Geprueft
"2019-11-25 09:20:00";8,2;0,018;Geprueft
"2019-12-09 09:15:00";7,8;0,019;Geprueft
"2021-01-25 11:05:00";7,9;0,016;Geprueft
"2021-02-17 10:35:00";6,6;0,037;Geprueft
"2021-03-15 10:40:00";6,3;0,026;Geprueft
"2021-04-12 12:00:00";6,5;0,012;Geprueft
"2021-05-27 10:50:00";3,7;0,042;Geprueft
"2021-06-22 10:56:00";6,9;0,055;Geprueft
"2021-07-07 11:00:00";8,4;0,028;Geprueft
"2021-08-10 11:15:00";6,4;0,029;Geprueft
"2021-09-15 11:40:00";9,4;0,024;Geprueft
"2021-10-21 11:45:00";8,5;0,025;Geprueft
"2021-11-10 11:45:00";8,5;0,021;Geprueft
"2021-12-13 10:30:00";6,00;0,026;Geprueft
