Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:44"
Zeitbezug:;MEZ
Messstellen-Name:;"Mündung Iller km 47.6"
Messstellen-Nr.:;2306
Gewässer:;Buxach
Ostwert:;583744;Nordwert:;5316794;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2007-04-04 10:35:00";;1,48;Geprueft
"2007-05-02 10:13:00";;2,99;Geprueft
"2007-05-31 10:30:00";;0,41;Geprueft
"2007-06-26 10:25:00";;2,37;Geprueft
"2007-07-10 10:20:00";;0,33;Geprueft
"2007-07-25 10:35:00";;0,2;Geprueft
"2007-08-22 10:15:00";;0,52;Geprueft
"2007-09-19 10:25:00";;0,18;Geprueft
"2015-01-21 08:50:00";14,00;0,02;Geprueft
"2015-02-18 14:00:00";19,00;"< BG";Geprueft
"2015-03-17 08:10:00";22,00;0,011;Geprueft
"2015-04-15 11:30:00";17,00;"< BG";Geprueft
"2015-05-12 09:10:00";19,00;0,021;Geprueft
"2015-06-11 13:10:00";26,00;0,024;Geprueft
"2015-07-22 08:05:00";21,00;0,01;Geprueft
"2015-08-13 13:30:00";20,00;0,011;Geprueft
"2015-09-02 10:45:00";15,00;0,007;Geprueft
"2015-09-21 12:10:00";19,00;0,008;Geprueft
"2015-10-28 08:10:00";18,00;"< BG";Geprueft
"2015-11-30 13:15:00";13,00;0,048;Geprueft
"2015-12-21 08:35:00";12,00;0,009;Geprueft
"2019-01-28 10:12:00";15,00;0,012;Geprueft
"2019-02-25 10:00:00";17,00;0,018;Geprueft
"2019-03-20 09:35:00";14,00;0,015;Geprueft
"2019-04-17 10:00:00";16,00;0,006;Geprueft
"2019-05-14 10:20:00";10,00;0,006;Geprueft
"2019-06-12 09:45:00";15,00;0,015;Geprueft
"2019-07-15 09:55:00";21,00;0,01;Geprueft
"2019-08-12 09:49:00";15,00;0,012;Geprueft
"2019-09-23 10:45:00";19,00;0,014;Geprueft
"2019-10-07 10:00:00";8,9;0,063;Geprueft
"2019-11-11 09:40:00";17,00;0,019;Geprueft
"2019-11-25 10:15:00";20,00;0,012;Geprueft
"2019-12-09 09:55:00";22,00;0,012;Geprueft
