Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 15:20"
Zeitbezug:;MEZ
Messstellen-Name:;"Oh. Mündung"
Messstellen-Nr.:;2321
Gewässer:;"Memminger Ach"
Ostwert:;585413;Nordwert:;5327672;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2007-04-04 09:55:00";;"< BG";Geprueft
"2007-05-02 09:38:00";;"< BG";Geprueft
"2007-05-31 10:00:00";;0,034;Geprueft
"2007-06-26 09:50:00";;0,016;Geprueft
"2007-07-10 09:45:00";;0,015;Geprueft
"2007-07-25 10:00:00";;0,029;Geprueft
"2007-08-22 09:40:00";;0,015;Geprueft
"2007-09-19 10:00:00";;0,021;Geprueft
"2015-01-21 09:35:00";19,00;0,017;Geprueft
"2015-02-18 09:15:00";20,00;0,009;Geprueft
"2015-03-17 09:05:00";22,00;0,008;Geprueft
"2015-04-15 10:50:00";22,00;0,005;Geprueft
"2015-05-12 09:55:00";23,00;0,015;Geprueft
"2015-06-11 09:05:00";23,00;0,016;Geprueft
"2015-07-22 12:30:00";23,00;0,011;Geprueft
"2015-08-13 12:00:00";23,00;0,009;Geprueft
"2015-09-02 10:15:00";22,00;0,007;Geprueft
"2015-09-21 11:40:00";24,00;0,009;Geprueft
"2015-10-28 08:50:00";24,00;0,009;Geprueft
"2015-11-30 11:15:00";24,00;0,018;Geprueft
"2015-12-21 10:05:00";24,00;0,016;Geprueft
"2021-01-20 08:40:00";26,00;0,01;Geprueft
"2021-02-24 08:40:00";25,00;0,009;Geprueft
"2021-03-23 08:45:00";26,00;"< BG";Geprueft
"2021-04-19 08:45:00";25,00;"< BG";Geprueft
"2021-05-18 08:45:00";23,00;0,008;Geprueft
"2021-06-29 08:35:00";24,00;0,012;Geprueft
"2021-07-20 08:45:00";25,00;0,016;Geprueft
"2021-08-18 09:00:00";24,00;0,02;Geprueft
"2021-09-28 08:20:00";26,00;0,014;Geprueft
"2021-10-20 08:45:00";26,00;0,009;Geprueft
"2021-11-03 08:40:00";26,00;0,012;Geprueft
"2021-12-08 08:50:00";25,00;0,016;Geprueft
