Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 16:21"
Zeitbezug:;MEZ
Messstellen-Name:;"Wiblingen Pegel"
Messstellen-Nr.:;2322
Gewässer:;Iller
Ostwert:;573216;Nordwert:;5357955;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"1982-01-07 09:10:00";;0,114;Geprueft
"1982-01-20 09:35:00";;0,1;Geprueft
"1982-02-03 09:15:00";;0,101;Geprueft
"1982-02-17 09:20:00";;0,111;Geprueft
"1982-03-03 09:10:00";;0,136;Geprueft
"1982-03-17 10:25:00";;0,11;Geprueft
"1982-03-31 09:15:00";;0,112;Geprueft
"1982-04-14 10:55:00";;0,078;Geprueft
"1982-04-28 08:50:00";;0,116;Geprueft
"1982-05-12 09:30:00";;0,084;Geprueft
"1982-05-26 09:40:00";;0,056;Geprueft
"1982-06-08 09:15:00";;0,082;Geprueft
"1982-06-23 09:15:00";;0,065;Geprueft
"1982-07-07 09:30:00";;0,082;Geprueft
"1982-07-21 09:45:00";;0,128;Geprueft
"1982-08-04 09:50:00";;0,121;Geprueft
"1982-08-18 09:50:00";;0,209;Geprueft
"1982-09-01 08:30:00";;0,101;Geprueft
"1982-09-15 09:30:00";;0,116;Geprueft
"1982-09-29 13:45:00";;0,122;Geprueft
"1982-10-13 09:45:00";;0,131;Geprueft
"1982-10-27 09:45:00";;0,095;Geprueft
"1982-11-10 09:45:00";;0,106;Geprueft
"1982-11-24 10:20:00";;0,176;Geprueft
"1982-12-08 09:00:00";;0,149;Geprueft
"1982-12-20 09:45:00";;0,099;Geprueft
"1983-01-04 09:00:00";;0,106;Geprueft
"1983-01-19 09:00:00";;0,135;Geprueft
"1983-02-02 09:20:00";;0,099;Geprueft
"1983-02-16 09:45:00";;0,122;Geprueft
"1983-03-02 10:00:00";;0,177;Geprueft
"1983-03-16 09:45:00";;0,132;Geprueft
"1983-03-30 09:20:00";;0,104;Geprueft
"1983-04-13 09:05:00";;0,084;Geprueft
"1983-04-27 09:40:00";;0,097;Geprueft
"1983-05-10 08:45:00";;0,086;Geprueft
"1983-05-25 09:40:00";;0,105;Geprueft
"1983-06-08 08:30:00";;0,074;Geprueft
"1983-06-22 09:30:00";;0,08;Geprueft
"1983-07-06 09:45:00";;0,097;Geprueft
"1983-07-20 08:55:00";;0,142;Geprueft
"1983-08-03 09:30:00";;0,249;Geprueft
"1983-08-17 10:00:00";;0,149;Geprueft
"1983-08-31 09:05:00";;0,188;Geprueft
"1983-09-14 09:30:00";;0,104;Geprueft
"1983-09-28 09:30:00";;0,153;Geprueft
