Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 13:37"
Zeitbezug:;MEZ
Messstellen-Name:;"50m uh. Rampe km 18,6"
Messstellen-Nr.:;2326
Gewässer:;Iller
Ostwert:;579187;Nordwert:;5344046;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2011-03-09 09:15:00";;"< BG";Geprueft
"2011-04-06 09:15:00";;"< BG";Geprueft
"2011-05-04 08:45:00";;"< BG";Geprueft
"2011-05-30 08:25:00";;"< BG";Geprueft
"2011-06-27 09:45:00";;0,015;Geprueft
"2011-07-27 09:00:00";;0,017;Geprueft
"2011-08-24 09:15:00";;"< BG";Geprueft
"2011-09-21 09:15:00";;0,018;Geprueft
"2017-01-25 09:20:00";14,00;"< BG";Geprueft
"2017-02-22 09:05:00";9,3;0,006;Geprueft
"2017-03-23 09:05:00";6,2;0,019;Geprueft
"2017-04-19 08:35:00";7,1;"< BG";Geprueft
"2017-05-03 09:20:00";6,6;0,01;Geprueft
"2017-06-21 09:10:00";7,5;"< BG";Geprueft
"2017-07-12 08:45:00";7,1;"< BG";Geprueft
"2017-08-09 09:00:00";7,1;"< BG";Geprueft
"2017-09-06 10:10:00";4,9;0,018;Geprueft
"2017-10-04 09:45:00";4,00;"< BG";Geprueft
"2017-11-08 09:05:00";8,9;0,006;Geprueft
"2017-11-29 09:00:00";10,00;0,012;Geprueft
"2020-01-08 09:20:00";9,5;0,006;Geprueft
"2020-02-05 09:10:00";4,1;0,016;Geprueft
"2020-03-04 08:45:00";7,8;0,009;Geprueft
"2020-04-15 09:30:00";6,8;"< BG";Geprueft
"2020-05-06 09:15:00";6,00;"< BG";Geprueft
"2020-06-03 09:10:00";7,2;"< BG";Geprueft
"2020-07-01 09:25:00";4,9;0,013;Geprueft
"2020-07-22 09:05:00";6,3;0,007;Geprueft
"2020-08-26 09:30:00";9,00;"< BG";Geprueft
"2020-09-23 09:40:00";8,4;"< BG";Geprueft
"2020-10-14 09:45:00";6,8;0,008;Geprueft
"2020-11-18 09:15:00";9,6;0,006;Geprueft
"2020-12-09 09:25:00";11,00;0,005;Geprueft
