Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:44"
Zeitbezug:;MEZ
Messstellen-Name:;"Ludwigsfeld Brücke"
Messstellen-Nr.:;2344
Gewässer:;Illerkanal
Ostwert:;574407;Nordwert:;5357382;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2011-01-12 08:45:00";;0,034;Geprueft
"2011-01-26 08:55:00";;0,017;Geprueft
"2011-02-09 08:40:00";;0,016;Geprueft
"2011-02-23 09:00:00";;0,014;Geprueft
"2011-03-09 10:00:00";;0,007;Geprueft
"2011-03-23 08:40:00";;0,028;Geprueft
"2011-04-06 09:50:00";;0,009;Geprueft
"2011-04-18 09:10:00";;0,005;Geprueft
"2011-05-04 10:00:00";;"< BG";Geprueft
"2011-05-18 09:00:00";;0,014;Geprueft
"2011-05-30 09:20:00";;0,017;Geprueft
"2011-06-15 09:15:00";;0,018;Geprueft
"2011-06-27 10:30:00";;0,017;Geprueft
"2011-07-13 09:15:00";;"< BG";Geprueft
"2011-07-27 10:00:00";;0,021;Geprueft
"2011-08-10 08:05:00";;0,034;Geprueft
"2011-08-24 10:00:00";;"< BG";Geprueft
"2011-09-07 09:50:00";;0,054;Geprueft
"2011-09-21 10:00:00";;0,018;Geprueft
"2011-10-05 08:50:00";;"< BG";Geprueft
"2011-10-18 08:15:00";;0,014;Geprueft
"2011-11-02 09:15:00";;0,01;Geprueft
"2011-11-16 08:40:00";;0,01;Geprueft
"2011-11-30 09:10:00";;0,009;Geprueft
"2011-12-13 09:15:00";;0,068;Geprueft
"2011-12-27 08:20:00";;0,037;Geprueft
"2012-01-11 09:30:00";;0,034;Geprueft
"2012-01-25 09:14:00";;0,037;Geprueft
"2012-02-07 10:00:00";;0,022;Geprueft
"2012-02-22 09:00:00";;0,017;Geprueft
"2012-03-07 09:41:00";;0,013;Geprueft
"2012-03-21 09:05:00";;"< BG";Geprueft
"2012-04-02 08:15:00";;"< BG";Geprueft
"2012-04-18 09:32:00";;"< BG";Geprueft
"2012-05-02 08:40:00";;0,005;Geprueft
"2012-05-14 08:10:00";;0,008;Geprueft
"2012-05-30 09:30:00";;0,006;Geprueft
"2012-06-13 09:30:00";;0,012;Geprueft
"2012-06-27 09:20:00";;0,014;Geprueft
"2012-07-10 09:24:00";;0,027;Geprueft
"2012-07-25 09:00:00";;0,005;Geprueft
"2012-08-08 09:30:00";;0,029;Geprueft
"2012-08-22 09:15:00";;"< BG";Geprueft
"2012-09-05 10:50:00";;0,019;Geprueft
"2012-09-19 10:06:00";;0,037;Geprueft
"2012-09-26 10:20:00";;0,02;Geprueft
"2012-10-10 10:40:00";;0,018;Geprueft
"2012-10-24 10:00:00";;0,015;Geprueft
"2012-11-07 09:55:00";;0,052;Geprueft
"2012-11-21 09:05:00";;0,017;Geprueft
"2012-12-05 09:25:00";;0,022;Geprueft
"2012-12-18 09:00:00";;0,038;Geprueft
"2013-01-09 10:45:00";;0,026;Geprueft
"2013-01-23 10:00:00";;0,02;Geprueft
"2013-02-06 11:55:00";;0,033;Geprueft
"2013-02-20 09:50:00";;0,02;Geprueft
"2013-03-06 10:40:00";;0,009;Geprueft
"2013-03-20 09:11:00";;0,014;Geprueft
"2013-04-03 10:40:00";;0,012;Geprueft
"2013-04-17 10:20:00";;"< BG";Geprueft
"2013-04-29 10:30:00";;0,009;Geprueft
"2013-05-15 10:05:00";;0,016;Geprueft
"2013-05-27 10:05:00";;0,015;Geprueft
"2013-06-12 10:30:00";;0,026;Geprueft
"2013-06-24 10:10:00";;0,026;Geprueft
"2013-07-10 10:40:00";;0,012;Geprueft
"2013-07-24 09:50:00";;"< BG";Geprueft
