Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:18"
Zeitbezug:;MEZ
Messstellen-Name:;"Böfinger Halde, KW-UW"
Messstellen-Nr.:;2346
Gewässer:;Donau
Ostwert:;575971;Nordwert:;5363943;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"1982-01-07 10:00:00";;0,098;Geprueft
"1982-01-20 10:05:00";;0,1;Geprueft
"1982-02-03 10:15:00";;0,104;Geprueft
"1982-02-17 09:50:00";;0,12;Geprueft
"1982-03-03 09:35:00";;0,18;Geprueft
"1982-03-17 11:10:00";;0,111;Geprueft
"1982-03-31 09:45:00";;0,116;Geprueft
"1982-04-14 10:50:00";;0,096;Geprueft
"1982-04-28 09:20:00";;0,133;Geprueft
"1982-05-12 10:30:00";;0,153;Geprueft
"1982-05-26 10:50:00";;0,105;Geprueft
"1982-06-08 10:00:00";;0,134;Geprueft
"1982-06-23 10:15:00";;0,117;Geprueft
"1982-07-07 10:00:00";;0,122;Geprueft
"1982-07-21 10:15:00";;0,183;Geprueft
"1982-08-04 10:30:00";;0,165;Geprueft
"1982-08-18 10:00:00";;0,199;Geprueft
"1982-09-01 09:00:00";;0,105;Geprueft
"1982-09-15 11:20:00";;0,194;Geprueft
"1982-09-29 14:10:00";;0,165;Geprueft
"1982-10-13 10:15:00";;0,149;Geprueft
"1982-10-27 10:45:00";;0,181;Geprueft
"1982-11-10 10:50:00";;0,181;Geprueft
"1982-11-24 10:55:00";;0,192;Geprueft
"1982-12-08 10:05:00";;0,172;Geprueft
"1982-12-20 10:30:00";;0,111;Geprueft
"1983-01-04 09:30:00";;0,119;Geprueft
"1983-01-19 09:50:00";;0,154;Geprueft
"1983-02-02 10:25:00";;0,128;Geprueft
"1983-02-16 10:15:00";;0,162;Geprueft
"1983-03-02 11:10:00";;0,173;Geprueft
"1983-03-16 10:45:00";;0,159;Geprueft
"1983-03-30 10:00:00";;0,134;Geprueft
"1983-04-13 10:10:00";;0,09;Geprueft
"1983-04-27 10:40:00";;0,124;Geprueft
"1983-05-10 09:15:00";;0,114;Geprueft
"1983-05-25 10:10:00";;0,179;Geprueft
"1983-06-08 09:20:00";;0,122;Geprueft
"1983-06-22 10:05:00";;0,115;Geprueft
"1983-07-06 10:20:00";;0,171;Geprueft
"1983-07-20 09:30:00";;0,147;Geprueft
"1983-08-03 10:20:00";;0,286;Geprueft
"1983-08-17 10:45:00";;0,28;Geprueft
"1983-08-31 09:30:00";;0,244;Geprueft
"1983-09-14 10:30:00";;0,206;Geprueft
"1983-09-28 10:20:00";;0,201;Geprueft
"1983-10-12 09:30:00";;0,267;Geprueft
"1983-10-26 09:45:00";;0,182;Geprueft
"1983-11-09 10:35:00";;0,302;Geprueft
"1983-11-23 10:10:00";;0,24;Geprueft
"1983-12-07 10:15:00";;0,248;Geprueft
"1983-12-21 10:30:00";;0,379;Geprueft
"1984-01-04 09:40:00";;0,23;Geprueft
"1984-01-18 10:15:00";;0,218;Geprueft
"1984-02-01 10:15:00";;0,301;Geprueft
"1984-02-15 10:30:00";;0,178;Geprueft
"1984-02-29 10:00:00";;0,274;Geprueft
"1984-03-14 10:05:00";;0,242;Geprueft
"1984-03-28 11:00:00";;0,242;Geprueft
"1984-04-11 10:00:00";;0,189;Geprueft
"1984-04-25 10:25:00";;0,123;Geprueft
"1984-05-09 10:15:00";;0,171;Geprueft
"1984-05-23 10:10:00";;0,242;Geprueft
"1984-06-06 09:25:00";;0,214;Geprueft
"1984-06-19 10:00:00";;0,085;Geprueft
"1984-07-03 09:40:00";;0,138;Geprueft
"1984-07-18 12:20:00";;0,214;Geprueft
"1984-08-01 09:35:00";;0,204;Geprueft
"1984-08-15 09:10:00";;0,157;Geprueft
"1984-08-29 10:00:00";;0,169;Geprueft
"1984-09-12 09:45:00";;0,216;Geprueft
"1984-09-26 10:15:00";;0,158;Geprueft
"1984-10-10 10:30:00";;0,065;Geprueft
"1984-10-24 10:15:00";;0,248;Geprueft
"1984-11-07 10:15:00";;0,248;Geprueft
"1984-11-21 09:15:00";;0,298;Geprueft
"1984-12-05 10:25:00";;0,203;Geprueft
"1984-12-19 10:10:00";;0,352;Geprueft
"1985-01-16 10:15:00";;0,32;Geprueft
"1985-01-30 11:30:00";;0,18;Geprueft
"1985-02-12 10:40:00";;0,15;Geprueft
"1985-02-27 10:00:00";;0,248;Geprueft
"1985-03-13 10:20:00";;0,22;Geprueft
"1985-03-27 11:30:00";;0,25;Geprueft
"1985-04-10 10:30:00";;0,27;Geprueft
"1985-04-24 09:50:00";;0,19;Geprueft
"1985-05-08 10:10:00";;0,17;Geprueft
"1985-05-22 10:20:00";;0,18;Geprueft
"1985-06-04 10:15:00";;0,14;Geprueft
"1985-06-19 10:15:00";;0,12;Geprueft
"1985-07-03 11:00:00";;0,18;Geprueft
"1985-07-17 12:20:00";;0,21;Geprueft
"1985-07-31 09:30:00";;0,28;Geprueft
"1985-08-13 10:30:00";;0,16;Geprueft
"1985-08-28 10:30:00";;0,13;Geprueft
"1985-09-11 10:30:00";;0,2;Geprueft
"1985-09-25 10:30:00";;0,27;Geprueft
"1985-10-09 10:10:00";;0,33;Geprueft
"1985-10-23 10:15:00";;0,29;Geprueft
"1985-11-06 10:20:00";;0,42;Geprueft
"1985-11-18 10:30:00";;0,25;Geprueft
"1985-12-04 10:45:00";;0,32;Geprueft
"1985-12-16 10:45:00";;0,3;Geprueft
"1986-01-02 11:40:00";;0,26;Geprueft
"1986-01-15 09:40:00";;0,25;Geprueft
"1986-01-29 10:00:00";;0,15;Geprueft
"1986-02-12 10:00:00";;0,24;Geprueft
"1986-02-26 10:00:00";;0,28;Geprueft
"1986-03-12 10:10:00";;0,3;Geprueft
"1986-03-26 10:30:00";;0,19;Geprueft
"1986-04-09 09:45:00";;0,13;Geprueft
"1986-04-23 10:15:00";;0,13;Geprueft
"1986-05-06 09:30:00";;0,11;Geprueft
"1986-05-21 09:30:00";;0,12;Geprueft
"1986-06-04 10:00:00";;0,13;Geprueft
"1986-06-18 10:15:00";;0,14;Geprueft
"1986-07-02 10:00:00";;0,13;Geprueft
"1986-07-16 09:15:00";;0,15;Geprueft
"1986-07-30 10:00:00";;0,15;Geprueft
"1986-08-13 10:20:00";;0,23;Geprueft
"1986-08-27 09:45:00";;0,14;Geprueft
"1986-09-10 09:30:00";;0,17;Geprueft
"1986-09-24 10:00:00";;0,26;Geprueft
"1986-10-08 09:45:00";;0,27;Geprueft
"1986-10-22 10:00:00";;0,31;Geprueft
"1986-11-05 10:00:00";;0,21;Geprueft
"1986-11-20 10:30:00";;0,23;Geprueft
"1986-12-03 10:00:00";;0,23;Geprueft
"1986-12-17 10:05:00";;0,22;Geprueft
"1986-12-29 10:00:00";;0,2;Geprueft
"1987-01-15 10:00:00";;0,15;Geprueft
"1987-01-28 10:15:00";;0,2;Geprueft
"1987-02-11 10:30:00";;0,26;Geprueft
"1987-02-25 10:00:00";;0,14;Geprueft
"1987-03-11 10:00:00";;0,11;Geprueft
"1987-03-25 10:00:00";;0,17;Geprueft
"1987-04-08 10:20:00";;0,13;Geprueft
"1987-04-22 10:05:00";;0,1;Geprueft
"1987-05-06 10:00:00";;0,15;Geprueft
"1987-05-20 10:00:00";;0,17;Geprueft
"1987-06-03 10:15:00";;0,1;Geprueft
"1987-06-15 10:10:00";;0,12;Geprueft
"1987-07-01 09:15:00";;0,11;Geprueft
"1987-07-15 09:50:00";;0,12;Geprueft
"1987-07-29 10:30:00";;0,11;Geprueft
"1987-08-12 10:00:00";;0,11;Geprueft
"1987-08-26 09:00:00";;0,15;Geprueft
"1987-09-09 11:15:00";;0,15;Geprueft
"1987-09-23 10:15:00";;0,17;Geprueft
"1987-10-07 10:25:00";;0,14;Geprueft
"1987-10-21 10:20:00";;0,04;Geprueft
"1987-11-04 10:15:00";;0,18;Geprueft
"1987-11-19 09:20:00";;0,19;Geprueft
"1987-12-02 10:10:00";;0,15;Geprueft
