Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 15:44"
Zeitbezug:;MEZ
Messstellen-Name:;"Südl. Westerheim, natürlicher Abschnitt"
Messstellen-Nr.:;2356
Gewässer:;"Westliche Günz"
Ostwert:;596233;Nordwert:;5316702;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2014-01-15 10:00:00";11,00;0,059;Geprueft
"2014-02-12 13:15:00";12,00;0,032;Geprueft
"2014-03-12 09:40:00";13,00;0,027;Geprueft
"2014-04-07 13:00:00";13,00;0,033;Geprueft
"2014-05-08 09:00:00";11,00;0,046;Geprueft
"2014-06-05 09:20:00";10,00;0,052;Geprueft
"2014-07-02 12:30:00";13,00;0,17;Geprueft
"2014-07-29 08:40:00";8,4;0,098;Geprueft
"2014-08-27 11:40:00";11,00;0,036;Geprueft
"2014-09-23 09:00:00";8,00;0,071;Geprueft
"2014-10-21 12:50:00";7,1;0,24;Geprueft
"2014-11-18 09:00:00";12,00;0,14;Geprueft
"2014-11-26 10:30:00";12,00;0,065;Geprueft
"2021-02-24 09:35:00";15,00;0,029;Geprueft
"2021-03-23 09:45:00";13,00;0,012;Geprueft
"2021-04-19 09:35:00";13,00;0,01;Geprueft
"2021-05-18 09:45:00";11,00;0,028;Geprueft
"2021-06-29 09:25:00";13,00;0,038;Geprueft
"2021-07-20 09:35:00";13,00;0,048;Geprueft
"2021-08-18 09:50:00";9,00;0,074;Geprueft
"2021-09-28 09:40:00";14,00;0,031;Geprueft
"2021-10-20 09:30:00";13,00;0,023;Geprueft
"2021-11-03 09:35:00";12,00;0,042;Geprueft
"2021-12-08 09:45:00";10,00;0,034;Geprueft
