Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 15:56"
Zeitbezug:;MEZ
Messstellen-Name:;"Uh. Moosmühle"
Messstellen-Nr.:;2358
Gewässer:;"Östliche Günz"
Ostwert:;597446;Nordwert:;5323754;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"2006-01-10 11:30:01";;0,051;Geprueft
"2006-01-31 11:10:01";;0,046;Geprueft
"2006-02-14 10:55:01";;0,055;Geprueft
"2006-03-28 11:00:01";;0,078;Geprueft
"2006-05-09 11:00:01";;0,031;Geprueft
"2006-06-20 10:50:01";;0,056;Geprueft
"2006-07-18 11:15:01";;0,034;Geprueft
"2006-08-01 11:00:01";;0,1;Geprueft
"2006-09-11 11:55:01";;0,033;Geprueft
"2006-10-10 10:55:01";;0,019;Geprueft
"2006-10-23 11:30:01";;0,024;Geprueft
"2018-01-17 09:50:00";6,5;0,071;Geprueft
"2018-02-14 11:55:00";10,00;0,041;Geprueft
"2018-03-12 12:40:00";9,8;0,023;Geprueft
"2018-04-09 13:20:00";8,00;0,033;Geprueft
"2018-05-02 12:30:00";8,8;0,04;Geprueft
"2018-06-04 12:35:00";7,7;0,03;Geprueft
"2018-07-02 11:50:00";7,6;0,04;Geprueft
"2018-07-30 09:10:00";8,9;0,058;Geprueft
"2018-08-29 13:00:00";5,5;0,02;Geprueft
"2018-09-24 13:20:00";5,5;0,028;Geprueft
"2018-10-29 12:30:00";7,4;0,062;Geprueft
"2018-11-19 08:55:00";7,5;0,085;Geprueft
"2018-12-17 12:20:00";8,7;0,14;Geprueft
"2021-01-19 00:00:00";9,00;0,047;Geprueft
"2021-02-22 08:35:00";12,00;0,027;Geprueft
"2021-03-22 08:40:00";11,00;0,019;Geprueft
"2021-04-26 09:35:00";7,8;0,006;Geprueft
"2021-05-17 08:50:00";8,7;0,036;Geprueft
"2021-06-21 09:00:00";8,8;0,053;Geprueft
"2021-07-19 08:50:00";8,6;0,079;Geprueft
"2021-08-16 09:10:00";8,7;0,053;Geprueft
"2021-09-13 08:40:00";10,00;0,036;Geprueft
"2021-10-11 09:00:00";11,00;0,019;Geprueft
"2021-11-08 08:45:00";9,3;0,034;Geprueft
"2021-12-06 08:55:00";8,6;0,091;Geprueft
