Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:32"
Zeitbezug:;MEZ
Messstellen-Name:;"Günzburg Wegbrücke"
Messstellen-Nr.:;2371
Gewässer:;Günz
Ostwert:;594167;Nordwert:;5367868;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"1982-01-07 10:35:00";;0,121;Geprueft
"1982-01-20 11:15:00";;0,11;Geprueft
"1982-02-03 11:00:00";;0,098;Geprueft
"1982-02-17 10:35:00";;0,103;Geprueft
"1982-03-03 10:15:00";;0,156;Geprueft
"1982-03-17 11:55:00";;0,074;Geprueft
"1982-03-31 10:20:00";;0,091;Geprueft
"1982-04-14 11:30:00";;0,111;Geprueft
"1982-04-28 11:20:00";;0,146;Geprueft
"1982-05-12 11:30:00";;0,166;Geprueft
"1982-05-26 11:20:00";;0,13;Geprueft
"1982-06-08 11:00:00";;0,203;Geprueft
"1982-06-23 10:55:00";;0,163;Geprueft
"1982-07-07 11:00:00";;0,185;Geprueft
"1982-07-21 10:45:00";;0,202;Geprueft
"1982-08-04 11:45:00";;0,164;Geprueft
"1982-08-18 11:00:00";;0,162;Geprueft
"1982-09-01 09:50:00";;0,112;Geprueft
"1982-09-15 12:30:00";;0,167;Geprueft
"1982-09-29 15:00:00";;0,179;Geprueft
"1982-10-13 11:00:00";;0,115;Geprueft
"1982-10-27 11:35:00";;0,137;Geprueft
"1982-11-10 11:40:00";;0,141;Geprueft
"1982-11-24 12:10:00";;0,178;Geprueft
"1982-12-08 10:50:00";;0,136;Geprueft
"1982-12-20 11:30:00";;0,122;Geprueft
"1983-01-04 10:30:00";;0,112;Geprueft
"1983-01-19 11:05:00";;0,151;Geprueft
"1983-02-02 11:05:00";;0,142;Geprueft
"1983-02-16 11:20:00";;0,123;Geprueft
"1983-03-02 12:00:00";;0,162;Geprueft
"1983-03-16 11:45:00";;0,11;Geprueft
"1983-03-30 10:40:00";;0,112;Geprueft
"1983-04-13 11:05:00";;0,118;Geprueft
"1983-04-27 11:45:00";;0,133;Geprueft
"1983-05-10 10:50:00";;0,139;Geprueft
"1983-05-25 11:00:00";;0,184;Geprueft
"1983-06-08 10:40:00";;0,184;Geprueft
"1983-06-22 11:10:00";;0,163;Geprueft
"1983-07-06 11:50:00";;0,169;Geprueft
"1983-07-20 11:30:00";;0,212;Geprueft
"1983-08-03 11:25:00";;0,29;Geprueft
"1983-08-17 11:35:00";;0,264;Geprueft
"1983-08-31 10:55:00";;0,252;Geprueft
"1983-09-14 11:30:00";;0,262;Geprueft
"1983-09-28 11:20:00";;0,206;Geprueft
"1983-10-12 10:30:00";;0,228;Geprueft
"1983-10-26 10:45:00";;0,187;Geprueft
"1983-11-09 11:20:00";;0,187;Geprueft
"1983-11-23 11:20:00";;0,187;Geprueft
"1983-12-07 11:00:00";;0,208;Geprueft
"1983-12-21 11:30:00";;0,232;Geprueft
"1984-01-04 10:15:00";;0,211;Geprueft
"1984-01-18 11:00:00";;0,205;Geprueft
"1984-02-01 11:00:00";;0,189;Geprueft
"1984-02-15 11:25:00";;0,13;Geprueft
"1984-02-29 10:40:00";;0,144;Geprueft
"1984-03-14 11:00:00";;0,125;Geprueft
"1984-03-28 11:45:00";;0,16;Geprueft
"1984-04-11 11:10:00";;0,149;Geprueft
"1984-04-25 11:20:00";;0,2;Geprueft
"1984-05-09 11:10:00";;0,219;Geprueft
"1984-05-23 11:00:00";;0,195;Geprueft
"1984-06-06 15:20:00";;0,141;Geprueft
"1984-06-19 11:05:00";;0,066;Geprueft
"1984-07-03 10:50:00";;0,234;Geprueft
"1984-07-18 11:15:00";;0,221;Geprueft
"1984-08-01 10:45:00";;0,187;Geprueft
"1984-08-15 10:35:00";;0,182;Geprueft
"1984-08-29 11:15:00";;0,206;Geprueft
"1984-09-12 10:30:00";;0,232;Geprueft
"1984-09-26 11:10:00";;0,137;Geprueft
"1984-10-10 11:30:00";;0,044;Geprueft
"1984-10-24 11:20:00";;0,152;Geprueft
"1984-11-07 11:00:00";;0,166;Geprueft
"1984-11-21 10:15:00";;0,192;Geprueft
"1984-12-05 11:10:00";;0,163;Geprueft
"1984-12-19 11:20:00";;0,32;Geprueft
"1985-01-16 11:00:00";;0,19;Geprueft
"1985-01-30 12:30:00";;0,1;Geprueft
"1985-02-12 11:40:00";;0,15;Geprueft
"1985-02-27 11:10:00";;0,178;Geprueft
"1985-03-13 11:20:00";;0,16;Geprueft
"1985-03-27 12:35:00";;0,15;Geprueft
"1985-04-10 11:15:00";;0,17;Geprueft
"1985-04-24 10:35:00";;0,12;Geprueft
"1985-05-08 11:00:00";;0,16;Geprueft
"1985-05-22 11:15:00";;0,24;Geprueft
"1985-06-04 11:20:00";;0,01;Geprueft
"1985-06-19 11:00:00";;0,14;Geprueft
"1985-07-03 12:05:00";;0,16;Geprueft
"1985-07-17 13:15:00";;0,15;Geprueft
"1985-07-31 10:30:00";;0,24;Geprueft
"1985-08-13 11:20:00";;0,19;Geprueft
"1985-08-28 11:30:00";;0,23;Geprueft
"1985-09-11 11:00:00";;0,19;Geprueft
"1985-09-25 11:30:00";;0,23;Geprueft
"1985-10-09 11:00:00";;0,3;Geprueft
"1985-10-23 11:00:00";;0,2;Geprueft
"1985-11-06 11:00:00";;0,26;Geprueft
"1985-11-18 11:30:00";;0,23;Geprueft
"1985-12-04 11:15:00";;0,19;Geprueft
"1985-12-16 12:00:00";;0,23;Geprueft
"1986-01-02 13:15:00";;0,17;Geprueft
"1986-01-15 10:30:00";;0,28;Geprueft
"1986-01-29 10:45:00";;0,13;Geprueft
"1986-02-12 11:00:00";;0,16;Geprueft
"1986-02-26 11:00:00";;0,15;Geprueft
"1986-03-12 11:20:00";;0,16;Geprueft
"1986-03-26 11:15:00";;0,22;Geprueft
"1986-04-09 11:00:00";;0,12;Geprueft
"1986-04-23 10:45:00";;0,07;Geprueft
"1986-05-06 10:30:00";;0,04;Geprueft
"1986-05-21 10:30:00";;0,14;Geprueft
"1986-06-04 11:00:00";;0,21;Geprueft
"1986-06-18 11:00:00";;0,19;Geprueft
"1986-07-02 10:45:00";;0,08;Geprueft
"1986-07-16 10:00:00";;0,15;Geprueft
"1986-07-30 11:00:00";;0,15;Geprueft
"1986-08-13 11:00:00";;0,19;Geprueft
"1986-08-27 10:45:00";;0,17;Geprueft
"1986-09-10 10:30:00";;0,14;Geprueft
"1986-09-24 11:00:00";;0,2;Geprueft
"1986-10-08 10:30:00";;0,2;Geprueft
"1986-10-22 10:50:00";;0,19;Geprueft
"1986-11-05 11:00:00";;0,2;Geprueft
"1986-11-20 11:25:00";;0,17;Geprueft
"1986-12-03 11:00:00";;0,17;Geprueft
