Quelle:;"Bayerisches Landesamt für Umwelt, www.gkd.bayern.de"
Datenbankabfrage:;"23.11.2023 14:50"
Zeitbezug:;MEZ
Messstellen-Name:;"Offingen - oh. Mündung"
Messstellen-Nr.:;2384
Gewässer:;Mindel
Ostwert:;602681;Nordwert:;5372563;"ETRS89 / UTM Zone 32N"

Datum;"NO3 [mg/l]";"o-PO4-P [mg/l]";Prüfstatus
"1982-01-07 13:00:00";19,00;0,101;Geprueft
"1982-01-20 14:10:00";23,00;0,12;Geprueft
"1982-02-03 13:15:00";21,00;0,101;Geprueft
"1982-02-17 13:20:00";22,00;0,126;Geprueft
"1982-03-03 13:10:00";22,00;0,192;Geprueft
"1982-03-17 14:05:00";21,00;0,1;Geprueft
"1982-03-31 13:25:00";21,00;0,117;Geprueft
"1982-04-14 13:50:00";21,00;0,116;Geprueft
"1982-04-28 13:35:00";21,00;0,171;Geprueft
"1982-05-12 14:15:00";20,00;0,182;Geprueft
"1982-05-26 13:45:00";20,00;0,223;Geprueft
"1982-06-08 13:50:00";19,00;0,286;Geprueft
"1982-06-23 13:15:00";19,00;0,216;Geprueft
"1982-07-07 13:30:00";18,00;0,263;Geprueft
"1982-07-21 13:00:00";18,00;0,165;Geprueft
"1982-08-04 14:20:00";18,00;0,2;Geprueft
"1982-08-18 13:45:00";17,00;0,236;Geprueft
"1982-09-01 13:30:00";20,00;0,141;Geprueft
"1982-09-15 15:00:00";20,00;0,212;Geprueft
"1982-09-29 16:40:00";19,00;0,155;Geprueft
"1982-10-13 14:15:00";16,00;0,149;Geprueft
"1982-10-27 14:15:00";20,00;0,152;Geprueft
"1982-11-10 14:20:00";21,00;0,193;Geprueft
"1982-11-24 14:40:00";18,00;0,198;Geprueft
"1982-12-08 13:40:00";20,00;0,233;Geprueft
"1982-12-20 14:45:00";20,00;0,128;Geprueft
"1983-01-04 13:15:00";20,00;0,143;Geprueft
"1983-01-19 13:45:00";17,00;0,149;Geprueft
"1983-02-02 13:30:00";20,00;0,17;Geprueft
"1983-02-16 13:45:00";20,00;0,154;Geprueft
